Geographic Area Name (NAME),Year (YEAR),Number of establishments (ESTAB)
Alabama,2017,373.00 
Alaska,2017,96.00 
Arizona,2017,196.00 
Arkansas,2017,347.00 
California,2017,4100.00 
Colorado,2017,1332.00 
Connecticut,2017,852.00 
Delaware,2017,252.00 
District of Columbia,2017,191.00 
Florida,2017,1428.00 
Georgia,2017,952.00 
Hawaii,2017,64.00 
Idaho,2017,91.00 
Illinois,2017,1377.00 
Indiana,2017,855.00 
Iowa,2017,139.00 
Kansas,2017,619.00 
Kentucky,2017,535.00 
Louisiana,2017,166.00 
Maine,2017,58.00 
Maryland,2017,1224.00 
Massachusetts,2017,1438.00 
Michigan,2017,1688.00 
Minnesota,2017,889.00 
Mississippi,2017,385.00 
Missouri,2017,385.00 
Montana,2017,77.00 
Nebraska,2017,132.00 
Nevada,2017,165.00 
New Hampshire,2017,95.00 
New Jersey,2017,1794.00 
New Mexico,2017,81.00 
New York,2017,3287.00 
North Carolina,2017,615.00 
North Dakota,2017,92.00 
Ohio,2017,715.00 
Oklahoma,2017,440.00 
Oregon,2017,247.00 
Pennsylvania,2017,1868.00 
Rhode Island,2017,231.00 
South Carolina,2017,451.00 
South Dakota,2017,65.00 
Tennessee,2017,627.00 
Texas,2017,1985.00 
Utah,2017,57.00 
Vermont,2017,121.00 
Virginia,2017,485.00 
Washington,2017,269.00 
West Virginia,2017,71.00 
Wisconsin,2017,416.00 
Wyoming,2017,92.00 
Guam,2017,9.00 
Commonwealth of the Northern Mariana Islands,2017,3.00 
Puerto Rico,2017,73.00 
