,year,USstate,Number of establishments (ESTAB),month
0,2012,ga,843.0,1
1,2012,ga,843.0,2
2,2012,ga,843.0,3
3,2012,ga,843.0,4
4,2012,ga,843.0,5
5,2012,ga,843.0,6
6,2012,ga,843.0,7
7,2012,ga,843.0,8
8,2012,ga,843.0,9
9,2012,ga,843.0,10
10,2012,ga,843.0,11
11,2012,ga,843.0,12
12,2013,ga,846.8908305140076,1
13,2013,ga,850.7624347103513,2
14,2013,ga,854.6083533653847,3
15,2013,ga,858.4221272554604,4
16,2013,ga,862.1972971569327,5
17,2013,ga,865.9274038461538,6
18,2013,ga,869.6059880994777,7
19,2013,ga,873.2265906932574,8
20,2013,ga,876.7827524038462,9
21,2013,ga,880.2680140075972,10
22,2013,ga,883.6759162808643,11
23,2013,ga,887.0,12
24,2014,ga,890.233805941358,1
25,2014,ga,893.3708748812915,2
26,2014,ga,896.4047475961539,3
27,2014,ga,899.3289648622981,4
28,2014,ga,902.1370674560778,5
29,2014,ga,904.8225961538461,6
30,2014,ga,907.3790917319564,7
31,2014,ga,909.8000949667617,8
32,2014,ga,912.0791466346153,9
33,2014,ga,914.2097875118708,10
34,2014,ga,916.1855583748813,11
35,2014,ga,918.0,12
36,2015,ga,919.6484827575972,1
37,2015,ga,921.133695394112,2
38,2015,ga,922.4601562500001,3
39,2015,ga,923.6323836657169,4
40,2015,ga,924.6548959817186,5
41,2015,ga,925.5322115384615,6
42,2015,ga,926.2688486764008,7
43,2015,ga,926.8693257359924,8
44,2015,ga,927.3381610576922,9
45,2015,ga,927.6798729819561,10
46,2015,ga,927.8989798492402,11
47,2015,ga,928.0,12
48,2016,ga,927.9917074726969,1
49,2016,ga,927.8998990978156,2
50,2016,ga,927.7546274038463,3
51,2016,ga,927.5859449192782,4
52,2016,ga,927.4239041726021,5
53,2016,ga,927.2985576923076,6
54,2016,ga,927.2399580068849,7
55,2016,ga,927.2781576448242,8
56,2016,ga,927.4432091346155,9
57,2016,ga,927.7651650047482,10
58,2016,ga,928.274077783713,11
59,2016,ga,929.0,12
60,2017,ga,929.965127166429,1
61,2017,ga,931.1602267331432,2
62,2017,ga,932.5682091346155,3
63,2017,ga,934.1719848053181,4
64,2017,ga,935.9544641797245,5
65,2017,ga,937.8985576923076,6
66,2017,ga,939.9871757775403,7
67,2017,ga,942.2032288698954,8
68,2017,ga,944.5296274038462,9
69,2017,ga,946.9492818138649,10
70,2017,ga,949.4451025344252,11
71,2017,ga,952.0,12
72,2018,ga,954.5968579356598,1
73,2018,ga,957.2184532288697,2
74,2018,ga,959.8475360576922,3
75,2018,ga,962.46685660019,4
76,2018,ga,965.0591650344254,5
77,2018,ga,967.6072115384616,6
78,2018,ga,970.0937462903607,7
79,2018,ga,972.501519468186,8
80,2018,ga,974.81328125,9
81,2018,ga,977.0117818138652,10
82,2018,ga,979.0797713378442,11
83,2018,ga,981.0,12
84,2019,ga,982.7620244242642,1
85,2019,ga,984.3826270180435,2
86,2019,ga,985.8853966346153,3
87,2019,ga,987.2939221272557,4
88,2019,ga,988.6317923492403,5
89,2019,ga,989.9225961538461,6
90,2019,ga,991.1899223943495,7
91,2019,ga,992.4573599240264,8
92,2019,ga,993.748497596154,9
93,2019,ga,995.0869242640076,10
94,2019,ga,996.496228780864,11
95,2019,ga,998.0,12
96,2020,ga,999.6218267746915,1
97,2020,ga,1001.3852979582146,2
98,2020,ga,1003.3140024038462,3
99,2020,ga,1005.4315289648623,4
100,2020,ga,1007.7614664945393,5
101,2020,ga,1010.3274038461539,6
102,2020,ga,1013.1529298729821,7
103,2020,ga,1016.2616334283,8
104,2020,ga,1019.6771033653847,9
105,2020,ga,1023.4229285375118,10
106,2020,ga,1027.5226977979582,11
107,2020,ga,1032.0,12
108,2012,nj,1656.0,1
109,2012,nj,1656.0,2
110,2012,nj,1656.0,3
111,2012,nj,1656.0,4
112,2012,nj,1656.0,5
113,2012,nj,1656.0,6
114,2012,nj,1656.0,7
115,2012,nj,1656.0,8
116,2012,nj,1656.0,9
117,2012,nj,1656.0,10
118,2012,nj,1656.0,11
119,2012,nj,1656.0,12
120,2013,nj,1662.4094961815447,1
121,2013,nj,1668.2320948084837,2
122,2013,nj,1673.5078926282051,3
123,2013,nj,1678.2769863880974,4
124,2013,nj,1682.5794728355497,5
125,2013,nj,1686.455448717949,6
126,2013,nj,1689.9450107826844,7
