cbsa,YEAR,alcohol
10100,2012,3
10140,2012,7
10180,2012,14
10220,2012,4
10300,2012,8
10420,2012,60
10460,2012,1
10500,2012,18
10540,2012,3
10580,2012,122
10620,2012,2
10660,2012,6
10700,2012,12
10740,2012,36
10760,2012,NA
10780,2012,3
10820,2012,9
10860,2012,6
10900,2012,114
10940,2012,4
10980,2012,3
11020,2012,18
11060,2012,2
11100,2012,28
11140,2012,3
11180,2012,5
11220,2012,9
11260,2012,48
11380,2012,NA
11420,2012,5
11460,2012,39
11500,2012,5
11540,2012,6
11580,2012,2
11620,2012,7
11660,2012,4
11680,2012,10
11700,2012,33
11740,2012,2
11780,2012,3
11820,2012,9
11860,2012,2
11900,2012,6
11940,2012,NA
11980,2012,16
12020,2012,14
12060,2012,403
12100,2012,58
12120,2012,NA
12140,2012,3
12180,2012,7
12220,2012,7
12260,2012,51
12300,2012,2
12380,2012,7
12420,2012,159
12460,2012,2
12540,2012,45
12580,2012,641
12620,2012,4
12660,2012,5
12680,2012,11
12700,2012,80
12740,2012,11
12780,2012,5
12820,2012,NA
12860,2012,6
12900,2012,NA
12940,2012,15
12980,2012,13
13020,2012,10
13060,2012,6
13100,2012,4
13140,2012,37
13180,2012,3
13220,2012,2
13260,2012,3
13300,2012,2
13340,2012,3
13380,2012,21
13420,2012,9
13460,2012,10
13500,2012,2
13540,2012,9
13620,2012,8
13660,2012,5
13700,2012,4
13720,2012,4
13740,2012,13
13780,2012,34
13820,2012,88
13900,2012,4
13940,2012,1
13980,2012,6
14010,2012,12
14020,2012,16
14100,2012,13
14140,2012,8
14180,2012,4
14220,2012,NA
14260,2012,32
14300,2012,NA
14340,2012,NA
14380,2012,4
14420,2012,3
14460,2012,814
14500,2012,67
14540,2012,17
14580,2012,6
14620,2012,10
14660,2012,24
14700,2012,7
14720,2012,17
14740,2012,11
14780,2012,2
14820,2012,2
14860,2012,168
15020,2012,NA
15060,2012,2
15100,2012,1
15140,2012,NA
15180,2012,34
15220,2012,4
15260,2012,22
15340,2012,4
15380,2012,124
15420,2012,2
15460,2012,NA
15500,2012,7
15540,2012,47
15580,2012,2
15620,2012,4
15660,2012,5
15680,2012,26
15700,2012,3
15740,2012,3
15780,2012,7
15820,2012,NA
15860,2012,11
15900,2012,3
15940,2012,30
15980,2012,35
16020,2012,4
16060,2012,18
16100,2012,NA
16140,2012,NA
16180,2012,8
16220,2012,15
16260,2012,1
16300,2012,8
16340,2012,2
16380,2012,2
16420,2012,NA
16460,2012,6
16500,2012,7
16540,2012,14
16580,2012,22
16620,2012,3
16660,2012,7
16700,2012,65
16740,2012,121
16820,2012,22
16860,2012,46
16940,2012,11
16980,2012,1076
17020,2012,22
17060,2012,5
17140,2012,175
17200,2012,32
17220,2012,2
17260,2012,4
17300,2012,35
17340,2012,6
17380,2012,8
17420,2012,3
17460,2012,132
17500,2012,1
17540,2012,NA
17580,2012,NA
17660,2012,14
17700,2012,10
17740,2012,4
17780,2012,16
17820,2012,127
17860,2012,8
17900,2012,62
17980,2012,38
18020,2012,2
18060,2012,9
18100,2012,2
18140,2012,128
18180,2012,10
18220,2012,2
18260,2012,11
18300,2012,4
18380,2012,4
18420,2012,NA
18460,2012,1
18500,2012,11
18580,2012,36
18620,2012,3
18660,2012,5
18700,2012,4
18740,2012,5
18780,2012,7
