,Year,USstate,Cost of Living Index
0,2021,NY,100.0
1,2021,HI,95.92
2,2021,CA,93.35
3,2021,AK,92.21
4,2021,WA,89.48
5,2021,MA,89.29
6,2021,DC,84.39
7,2021,NJ,83.54
8,2021,OR,82.78
9,2021,MN,82.47
10,2021,FL,81.32
11,2021,WI,80.96
12,2021,IL,80.38
13,2021,SC,80.24
14,2021,PA,79.69
15,2021,GA,76.22
16,2021,AL,76.21
17,2021,OH,75.64
18,2021,LA,75.29
19,2021,MI,74.25
20,2021,CO,73.96
21,2021,MD,73.33
22,2021,NC,72.66
23,2021,TN,72.15
24,2021,NE,71.0
25,2021,NV,68.92
26,2021,MO,68.86
27,2021,TX,68.59
28,2021,VA,68.31
29,2021,KY,67.64
30,2021,IA,67.63
31,2021,AZ,67.18
32,2021,IN,65.62
33,2021,NM,65.48
34,2021,OK,64.61
35,2021,UT,63.89
36,2021,ID,63.3
37,2021,AR,62.89
38,2021,KS,61.09
