,year,USstate,cost_of_living_index,month
0,2012,ga,77.77,1
1,2012,ga,77.77,2
2,2012,ga,77.77,3
3,2012,ga,77.77,4
4,2012,ga,77.77,5
5,2012,ga,77.77,6
6,2012,ga,77.77,7
7,2012,ga,77.77,8
8,2012,ga,77.77,9
9,2012,ga,77.77,10
10,2012,ga,77.77,11
11,2012,ga,77.77,12
12,2013,ga,77.77,1
13,2013,ga,77.77,2
14,2013,ga,77.77,3
15,2013,ga,77.77,4
16,2013,ga,77.77,5
17,2013,ga,77.77,6
18,2013,ga,77.77,7
19,2013,ga,77.77,8
20,2013,ga,77.77,9
21,2013,ga,77.77,10
22,2013,ga,77.77,11
23,2013,ga,77.77,12
24,2014,ga,77.63084693356414,1
25,2014,ga,77.49617382519087,2
26,2014,ga,77.3659970805961,3
27,2014,ga,77.24033310549592,4
28,2014,ga,77.1191983056063,5
29,2014,ga,77.00260908664328,6
30,2014,ga,76.89058185432283,7
31,2014,ga,76.78313301436098,8
32,2014,ga,76.6802789724737,9
33,2014,ga,76.58203613437703,10
34,2014,ga,76.48842090578695,11
35,2014,ga,76.3994496924195,12
36,2015,ga,76.31513889999067,1
37,2015,ga,76.23550493421644,2
38,2015,ga,76.16056420081287,3
39,2015,ga,76.09033310549593,4
40,2015,ga,76.02482805398164,5
41,2015,ga,75.96406545198597,6
42,2015,ga,75.90806170522498,7
43,2015,ga,75.85683321941464,8
44,2015,ga,75.81039640027096,9
45,2015,ga,75.76876765350998,10
46,2015,ga,75.73196338484765,11
47,2015,ga,75.7,12
48,2016,ga,75.67289390468306,1
49,2016,ga,75.6506615046128,2
50,2016,ga,75.63331920550527,3
51,2016,ga,75.62088341307643,4
52,2016,ga,75.6133705330423,5
53,2016,ga,75.6107969711189,6
54,2016,ga,75.61317913302224,7
55,2016,ga,75.62053342446829,8
56,2016,ga,75.6328762511731,9
57,2016,ga,75.65022401885265,10
58,2016,ga,75.67259313322295,11
59,2016,ga,75.7,12
60,2017,ga,75.7322655395007,1
61,2017,ga,75.76842873044546,2
62,2017,ga,75.80733306615556,3
63,2017,ga,75.8478220399523,4
64,2017,ga,75.88873914515695,5
65,2017,ga,75.92892787509085,6
66,2017,ga,75.96723172307523,7
67,2017,ga,76.00249418243145,8
68,2017,ga,76.03355874648072,9
69,2017,ga,76.05926890854435,10
70,2017,ga,76.0784681619437,11
71,2017,ga,76.09,12
72,2018,ga,76.0925694002771,1
73,2018,ga,76.08432727730904,2
74,2018,ga,76.06328602987251,3
75,2018,ga,76.027458056744,4
76,2018,ga,75.97485575670021,5
77,2018,ga,75.9034915285177,6
78,2018,ga,75.81137777097311,7
79,2018,ga,75.69652688284302,8
80,2018,ga,75.55695126290406,9
81,2018,ga,75.39066330993283,10
82,2018,ga,75.19567542270593,11
83,2018,ga,74.97,12
84,2019,ga,74.71345222976126,1
85,2019,ga,74.43305845661457,2
86,2019,ga,74.13764781435445,3
87,2019,ga,73.83604943677537,4
88,2019,ga,73.53709245767183,5
89,2019,ga,73.24960601083833,6
90,2019,ga,72.98241923006937,7
91,2019,ga,72.74436124915944,8
92,2019,ga,72.54426120190305,9
93,2019,ga,72.39094822209466,10
94,2019,ga,72.29325144352883,11
95,2019,ga,72.26,12
96,2020,ga,72.29642839364081,1
97,2020,ga,72.39339259993632,2
98,2020,ga,72.53815396270971,3
99,2020,ga,72.71797382578414,4
100,2020,ga,72.92011353298284,5
101,2020,ga,73.13183442812897,6
102,2020,ga,73.34039785504572,7
103,2020,ga,73.53306515755627,8
104,2020,ga,73.69709767948378,9
105,2020,ga,73.81975676465144,10
106,2020,ga,73.88830375688245,11
107,2020,ga,73.89,12
108,2021,ga,73.81914438086068,1
109,2021,ga,73.69818595845499,2
110,2021,ga,73.55661133480676,3
111,2021,ga,73.42390711193988,4
112,2021,ga,73.32955989187825,5
113,2021,ga,73.30305627664576,6
114,2021,ga,73.37388286826626,7
115,2021,ga,73.57152626876369,8
116,2021,ga,73.9254730801619,9
117,2021,ga,74.46520990448474,10
118,2021,ga,75.22022334375615,11
119,2021,ga,76.22,12
120,2012,dc,77.48253806439787,1
121,2012,dc,78.97988208476225,2
122,2012,dc,80.6725881980633,3
123,2012,dc,82.52121254127114,4
124,2012,dc,84.48631125135599,5
125,2012,dc,86.528440465288,6
126,2012,dc,88.60815632003735,7
127,2012,dc,90.68601495257421,8
128,2012,dc,92.72257249986873,9
129,2012,dc,94.67838509889107,10
130,2012,dc,96.51400888661144,11
131,2012,dc,98.19,12
132,2013,dc,99.67506100043663,1
133,2013,dc,100.97048014694043,2
134,2013,dc,102.08569212294012,3
135,2013,dc,103.03013161186443,4
136,2013,dc,103.8132332971422,5
137,2013,dc,104.4444318622022,6
138,2013,dc,104.93316199047315,7
139,2013,dc,105.28885836538393,8
140,2013,dc,105.52095567036322,9
141,2013,dc,105.63888858883978,10
142,2013,dc,105.65209180424245,11
143,2013,dc,105.57,12
144,2014,dc,105.4019285820036,1
145,2014,dc,105.1567158459945,2
146,2014,dc,104.8430808101763,3
147,2014,dc,104.46974249275256,4
148,2014,dc,104.04541991192697,5
149,2014,dc,103.57883208590312,6
150,2014,dc,103.07869803288466,7
151,2014,dc,102.55373677107524,8
152,2014,dc,102.01266731867844,9
153,2014,dc,101.46420869389786,10
154,2014,dc,100.91707991493716,11
155,2014,dc,100.38,12
156,2015,dc,99.86060430117844,1
157,2015,dc,99.36219350611852,2
158,2015,dc,98.88698463635475,3
159,2015,dc,98.4371947134216,4
160,2015,dc,98.01504075885359,5
161,2015,dc,97.62273979418524,6
162,2015,dc,97.26250884095104,7
163,2015,dc,96.93656492068551,8
164,2015,dc,96.64712505492315,9
165,2015,dc,96.39640626519841,10
166,2015,dc,96.18662557304586,11
167,2015,dc,96.02,12
168,2016,dc,95.89758129661591,1
169,2016,dc,95.81576012953138,2
170,2016,dc,95.76976189440477,3
171,2016,dc,95.7548119868944,4
172,2016,dc,95.76613580265864,5
173,2016,dc,95.79895873735586,6
174,2016,dc,95.84850618664441,7
175,2016,dc,95.9100035461827,8
176,2016,dc,95.97867621162904,9
177,2016,dc,96.04974957864177,10
178,2016,dc,96.11844904287932,11
179,2016,dc,96.18,12
180,2017,dc,96.23004273458002,1
181,2017,dc,96.26587708686696,2
182,2017,dc,96.2852177860262,3
183,2017,dc,96.28577956122305,4
184,2017,dc,96.26527714162295,5
185,2017,dc,96.22142525639131,6
186,2017,dc,96.15193863469347,7
187,2017,dc,96.05453200569484,8
188,2017,dc,95.92692009856081,9
189,2017,dc,95.76681764245672,10
190,2017,dc,95.57193936654798,11
191,2017,dc,95.34,12
192,2018,dc,95.07051165395282,1
193,2018,dc,94.77017596744518,2
194,2018,dc,94.44749196149057,3
195,2018,dc,94.11095865710234,4
196,2018,dc,93.76907507529398,5
197,2018,dc,93.43034023707894,6
198,2018,dc,93.1032531634706,7
199,2018,dc,92.79631287548244,8
200,2018,dc,92.51801839412786,9
201,2018,dc,92.27686874042028,10
202,2018,dc,92.08136293537318,11
203,2018,dc,91.94,12
204,2019,dc,91.85805532553462,1
205,2019,dc,91.82790978409302,2
206,2019,dc,91.83872061801164,3
207,2019,dc,91.87964506962686,4
208,2019,dc,91.93984038127513,5
209,2019,dc,92.00846379529295,6
210,2019,dc,92.07467255401673,7
211,2019,dc,92.12762389978286,8
212,2019,dc,92.15647507492784,9
213,2019,dc,92.15038332178806,10
214,2019,dc,92.09850588269995,11
215,2019,dc,91.99,12
216,2020,dc,91.81715709020496,1
217,2020,dc,91.58480526655309,2
218,2020,dc,91.30090681646301,3
219,2020,dc,90.97342402735325,4
220,2020,dc,90.61031918664244,5
221,2020,dc,90.21955458174922,6
222,2020,dc,89.80909250009213,7
223,2020,dc,89.3868952290898,8
224,2020,dc,88.96092505616085,9
225,2020,dc,88.5391442687238,10
226,2020,dc,88.12951515419732,11
227,2020,dc,87.74,12
228,2021,dc,87.37674223957141,1
229,2021,dc,87.03860989043531,2
230,2021,dc,86.72265211613642,3
231,2021,dc,86.42591808021943,4
232,2021,dc,86.1454569462291,5
233,2021,dc,85.87831787771016,6
234,2021,dc,85.62155003820729,7
235,2021,dc,85.37220259126528,8
236,2021,dc,85.12732470042882,9
237,2021,dc,84.88396552924262,10
238,2021,dc,84.63917424125144,11
239,2021,dc,84.39,12
240,2012,nj,84.13429182743522,1
241,2012,nj,83.87309817911272,2
242,2012,nj,83.6082673689904,3
243,2012,nj,83.34164771102608,4
244,2012,nj,83.07508751917759,5
245,2012,nj,82.8104351074028,6
246,2012,nj,82.54953878965951,7
247,2012,nj,82.29424687990564,8
248,2012,nj,82.04640769209898,9
249,2012,nj,81.80786954019736,10
250,2012,nj,81.58048073815867,11
251,2012,nj,81.36608959994075,12
252,2013,nj,81.16654443950141,1
253,2013,nj,80.98369357079852,2
254,2013,nj,80.81938530778991,3
255,2013,nj,80.67546796443345,4
256,2013,nj,80.55378985468695,5
257,2013,nj,80.4561992925083,6
258,2013,nj,80.38454459185533,7
259,2013,nj,80.34067406668584,8
260,2013,nj,80.32643603095775,9
261,2013,nj,80.34367879862883,10
262,2013,nj,80.39425068365696,11
263,2013,nj,80.48,12
264,2014,nj,80.60168081759977,1
265,2014,nj,80.75567023033418,2
266,2014,nj,80.93725108806508,3
267,2014,nj,81.14170624065434,4
268,2014,nj,81.36431853796392,5
269,2014,nj,81.60037082985562,6
270,2014,nj,81.84514596619135,7
271,2014,nj,82.093926796833,8
272,2014,nj,82.34199617164246,9
273,2014,nj,82.58463694048159,10
274,2014,nj,82.81713195321228,11
275,2014,nj,83.03476405969641,12
276,2015,nj,83.23281610979589,1
277,2015,nj,83.40657095337257,2
278,2015,nj,83.55131144028836,3
279,2015,nj,83.66232042040508,4
280,2015,nj,83.73488074358468,5
281,2015,nj,83.76427525968901,6
282,2015,nj,83.74578681857999,7
283,2015,nj,83.67469827011945,8
284,2015,nj,83.5462924641693,9
285,2015,nj,83.35585225059143,10
286,2015,nj,83.0986604792477,11
287,2015,nj,82.77,12
288,2016,nj,82.36836866711866,1
289,2016,nj,81.90512435250766,2
290,2016,nj,81.39483993247941,3
291,2016,nj,80.85208828334636,4
292,2016,nj,80.29144228142091,5
293,2016,nj,79.72747480301555,6
294,2016,nj,79.17475872444263,7
295,2016,nj,78.64786692201461,8
296,2016,nj,78.1613722720439,9
297,2016,nj,77.72984765084294,10
298,2016,nj,77.36786593472418,11
299,2016,nj,77.09,12
300,2017,nj,76.90671903854427,1
301,2017,nj,76.81207750447675,2
302,2017,nj,76.7960261674785,3
303,2017,nj,76.84851579723068,4
304,2017,nj,76.95949716341444,5
305,2017,nj,77.11892103571088,6
306,2017,nj,77.31673818380118,7
307,2017,nj,77.54289937736644,8
308,2017,nj,77.78735538608784,9
