Illinois, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201201,31.9,6.6
201202,35.8,6.6
201203,55.5,15.7
201204,54.6,3.1
201205,68.1,6.0
201206,72.6,1.2
201207,81.8,6.2
201208,73.6,0.2
201209,64.9,-1.3
201210,52.5,-2.1
201211,41.2,0.4
201212,36.8,7.4
201301,29.2,3.9
201302,29.9,0.7
201303,34.3,-5.5
201304,50.2,-1.3
201305,63.9,1.8
201306,71.5,0.1
201307,73.1,-2.5
201308,72.8,-0.6
201309,68.6,2.4
201310,54.5,-0.1
201311,38.8,-2.0
201312,26.2,-3.2
201401,19.3,-6.0
201402,19.4,-9.8
201403,34.4,-5.4
201404,52.4,0.9
201405,63.7,1.6
201406,73.0,1.6
201407,70.3,-5.3
201408,73.8,0.4
201409,64.7,-1.5
201410,54.3,-0.3
201411,34.6,-6.2
201412,33.9,4.5
201501,25.7,0.4
201502,19.4,-9.8
201503,38.3,-1.5
201504,54.3,2.8
201505,64.9,2.8
201506,71.7,0.3
201507,74.2,-1.4
201508,71.9,-1.5
201509,70.4,4.2
201510,56.0,1.4
201511,46.6,5.8
201512,41.1,11.7
201601,26.9,1.6
201602,33.8,4.6
201603,47.3,7.5
201604,53.0,1.5
201605,62.0,-0.1
201606,74.8,3.4
201607,75.6,0.0
201608,75.7,2.3
201609,70.8,4.6
201610,59.9,5.3
201611,48.1,7.3
201612,28.9,-0.5
201701,32.1,6.8
201702,41.1,11.9
201703,43.2,3.4
201704,56.5,5.0
201705,61.9,-0.2
201706,72.7,1.3
201707,76.1,0.5
201708,70.5,-2.9
201709,68.8,2.6
201710,58.1,3.5
201711,41.9,1.1
201712,29.8,0.4
201801,24.1,-1.2
201802,31.8,2.6
201803,39.2,-0.6
201804,44.8,-6.7
201805,70.7,8.6
201806,74.9,3.5
201807,75.0,-0.6
201808,74.7,1.3
201809,70.3,4.1
201810,54.2,-0.4
201811,35.6,-5.2
201812,34.4,5.0
201901,25.4,0.1
201902,29.3,0.1
201903,37.3,-2.5
201904,52.5,1.0
201905,62.5,0.4
201906,70.9,-0.5
201907,77.4,1.8
201908,72.8,-0.6
201909,71.6,5.4
201910,53.7,-0.9
201911,36.2,-4.6
201912,35.6,6.2
202001,31.8,6.5
202002,31.9,2.7
202003,44.4,4.6
202004,49.6,-1.9
202005,60.6,-1.5
202006,73.6,2.2
202007,77.3,1.7
202008,72.8,-0.6
202009,65.6,-0.6
202010,52.0,-2.6
202011,47.1,6.3
202012,33.0,3.6
202101,29.4,4.1
202102,20.7,-8.5
202103,46.2,6.4
202104,52.5,1.0
202105,61.1,-1.0
202106,74.1,2.7
202107,74.6,-1.0
202108,75.5,2.1
202109,69.6,3.4
202110,60.2,5.6
202111,41.0,0.2
202112,40.1,10.7
