Contiguous U.S., Average Temperature,
Units: Degrees Fahrenheit,,
Base Period: 2012-2020,,
Missing: -99,,
Date,Value,Anomaly
201201,36.12,3
201202,37.51,1.78
201203,50.41,5.97
201204,54.68,2.57
201205,63.45,1.98
201206,70.54,0.03
201207,76.77,1.79
201208,73.8,0.52
201209,66.31,-0.72
201210,53.89,-1.1
201211,44.01,0.69
201212,35.92,0.66
201301,32.25,-0.87
201302,34.77,-0.96
201303,40.91,-3.53
201304,49.68,-2.43
201305,60.85,-0.62
201306,70.39,-0.12
201307,74.21,-0.77
201308,72.99,-0.29
201309,66.96,-0.07
201310,53.44,-1.55
201311,41.61,-1.71
201312,31.06,-4.2
201401,30.56,-2.56
201402,32.13,-3.6
201403,40.51,-3.93
201404,51.69,-0.42
201405,61.27,-0.2
201406,69.58,-0.93
201407,73.29,-1.69
201408,72.25,-1.03
201409,66.2,-0.83
201410,56.93,1.94
201411,39.25,-4.07
201412,36.81,1.55
201501,33.08,-0.04
201502,32.99,-2.74
201503,45.39,0.95
201504,53.24,1.13
201505,60.84,-0.63
201506,71.37,0.86
201507,73.92,-1.06
201508,72.95,-0.33
201509,68.54,1.51
201510,57.24,2.25
201511,44.6,1.28
201512,38.66,3.4
201601,32.22,-0.9
201602,39.47,3.74
201603,47.5,3.06
201604,53.19,1.08
201605,60.33,-1.14
201606,71.76,1.25
201607,75.22,0.24
201608,73.53,0.25
201609,67.12,0.09
201610,57.72,2.73
201611,47.97,4.65
201612,32.95,-2.31
201701,33.57,0.45
201702,41.18,5.45
201703,46.15,1.71
201704,53.8,1.69
201705,60.57,-0.9
201706,70.36,-0.15
201707,75.7,0.72
201708,72.01,-1.27
201709,66.27,-0.76
201710,55.69,0.7
201711,45.03,1.71
201712,34.29,-0.97
201801,32.16,-0.96
201802,35.51,-0.22
201803,42.73,-1.71
201804,49.03,-3.08
201805,65.52,4.05
201806,71.55,1.04
201807,75.45,0.47
201808,73.51,0.23
201809,67.53,0.5
201810,53.71,-1.28
201811,40.01,-3.31
201812,35.51,0.25
201901,32.56,-0.56
201902,31.84,-3.89
201903,40.28,-4.16
201904,52.84,0.73
201905,59.49,-1.98
201906,68.72,-1.79
201907,74.62,-0.36
201908,73.74,0.46
201909,68.43,1.4
201910,52.05,-2.94
201911,41.11,-2.21
201912,36.43,1.17
202001,35.55,2.43
202002,36.18,0.45
202003,46.08,1.64
202004,50.88,-1.23
202005,60.91,-0.56
202006,70.29,-0.22
202007,75.65,0.67
202008,74.71,1.43
202009,65.91,-1.12
202010,54.28,-0.71
202011,46.31,2.99
202012,35.71,0.45
