Maryland, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201201,37.4,5.0
201202,40.5,6.7
201203,52.7,10.2
201204,54.2,2.1
201205,67.7,5.4
201206,71.7,1.1
201207,79.8,4.7
201208,75.8,2.6
201209,67.8,0.8
201210,57.5,1.7
201211,42.6,-2.2
201212,42.2,6.9
201301,36.3,3.9
201302,34.5,0.7
201303,39.7,-2.8
201304,54.4,2.3
201305,62.8,0.5
201306,72.7,2.1
201307,77.8,2.7
201308,72.4,-0.8
201309,66.0,-1.0
201310,58.1,2.3
201311,43.3,-1.5
201312,38.6,3.3
201401,27.8,-4.6
201402,32.8,-1.0
201403,38.2,-4.3
201404,52.7,0.6
201405,64.2,1.9
201406,72.3,1.7
201407,74.7,-0.4
201408,71.7,-1.5
201409,68.0,1.0
201410,58.2,2.4
201411,42.7,-2.1
201412,39.6,4.3
201501,30.7,-1.7
201502,25.3,-8.5
201503,39.4,-3.1
201504,54.0,1.9
201505,67.6,5.3
201506,73.0,2.4
201507,75.9,0.8
201508,73.9,0.7
201509,70.8,3.8
201510,55.6,-0.2
201511,50.5,5.7
201512,48.6,13.3
201601,32.1,-0.3
201602,36.9,3.1
201603,49.4,6.9
201604,53.1,1.0
201605,60.9,-1.4
201606,72.2,1.6
201607,78.4,3.3
201608,78.0,4.8
201609,71.5,4.5
201610,59.4,3.6
201611,47.7,2.9
201612,38.0,2.7
201701,38.3,5.9
201702,43.7,9.9
201703,43.1,0.6
201704,59.5,7.4
201705,62.2,-0.1
201706,72.6,2.0
201707,77.4,2.3
201708,72.8,-0.4
201709,68.3,1.3
201710,61.2,5.4
201711,45.8,1.0
201712,35.3,0.0
201801,31.0,-1.4
201802,41.6,7.8
201803,39.3,-3.2
201804,50.7,-1.4
201805,68.8,6.5
201806,72.1,1.5
201807,76.2,1.1
201808,77.1,3.9
201809,72.7,5.7
201810,59.0,3.2
201811,43.4,-1.4
201812,39.2,3.9
201901,34.0,1.6
201902,37.6,3.8
201903,42.1,-0.4
201904,57.8,5.7
201905,67.3,5.0
201906,72.5,1.9
201907,78.6,3.5
201908,75.6,2.4
201909,71.4,4.4
201910,60.3,4.5
201911,42.6,-2.2
201912,38.9,3.6
202001,39.1,6.7
202002,41.0,7.2
202003,49.3,6.8
202004,51.6,-0.5
202005,60.5,-1.8
202006,72.7,2.1
202007,80.1,5.0
202008,76.6,3.4
202009,67.3,0.3
202010,59.0,3.2
202011,50.9,6.1
202012,38.3,3.0
202101,35.4,3.0
202102,34.2,0.4
202103,47.2,4.7
202104,54.9,2.8
202105,62.2,-0.1
202106,73.1,2.5
202107,77.2,2.1
202108,77.1,3.9
202109,69.6,2.6
202110,62.9,7.1
202111,44.4,-0.4
202112,43.7,8.4
