Minnesota, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201201,18.4,11.9
201202,22.4,10.3
201203,41.8,16.5
201204,45.5,4.2
201205,58.3,4.1
201206,66.8,3.1
201207,74.3,5.5
201208,66.7,0.4
201209,57.3,0.5
201210,43.2,-1.8
201211,30.9,3.0
201212,16.8,3.9
201301,11.4,4.9
201302,13.0,0.9
201303,20.6,-4.7
201304,34.0,-7.3
201305,53.2,-1.0
201306,63.9,0.2
201307,69.0,0.2
201308,67.8,1.5
201309,61.5,4.7
201310,44.9,-0.1
201311,27.6,-0.3
201312,5.0,-7.9
201401,2.3,-4.2
201402,3.8,-8.3
201403,19.6,-5.7
201404,38.4,-2.9
201405,54.3,0.1
201406,65.0,1.3
201407,66.7,-2.1
201408,67.1,0.8
201409,58.5,1.7
201410,46.2,1.2
201411,21.4,-6.5
201412,20.4,7.5
201501,13.7,7.2
201502,5.6,-6.5
201503,30.7,5.4
201504,44.6,3.3
201505,54.2,0.0
201506,64.7,1.0
201507,69.5,0.7
201508,65.9,-0.4
201509,63.8,7.0
201510,47.9,2.9
201511,36.5,8.6
201512,24.8,11.9
201601,12.6,6.1
201602,19.9,7.8
201603,35.7,10.4
201604,42.5,1.2
201605,56.7,2.5
201606,65.6,1.9
201607,69.3,0.5
201608,68.1,1.8
201609,60.7,3.9
201610,48.2,3.2
201611,40.2,12.3
201612,15.3,2.4
201701,14.6,8.1
201702,23.9,11.8
201703,28.2,2.9
201704,44.4,3.1
201705,53.6,-0.6
201706,65.0,1.3
201707,69.2,0.4
201708,64.0,-2.3
201709,60.8,4.0
201710,47.1,2.1
201711,27.4,-0.5
201712,13.4,0.5
201801,10.4,3.9
201802,8.6,-3.5
201803,27.5,2.2
201804,32.7,-8.6
201805,61.1,6.9
201806,67.0,3.3
201807,69.7,0.9
201808,67.4,1.1
201809,59.0,2.2
201810,40.7,-4.3
201811,22.8,-5.1
201812,20.2,7.3
201901,6.6,0.1
201902,5.3,-6.8
201903,22.6,-2.7
201904,41.4,0.1
201905,50.5,-3.7
201906,64.4,0.7
201907,70.4,1.6
201908,65.2,-1.1
201909,60.2,3.4
201910,42.4,-2.6
201911,26.0,-1.9
201912,16.6,3.7
202001,14.1,7.6
202002,14.0,1.9
202003,30.4,5.1
202004,39.4,-1.9
202005,53.5,-0.7
202006,67.7,4.0
202007,71.3,2.5
202008,68.2,1.9
202009,56.5,-0.3
202010,38.9,-6.1
202011,33.9,6.0
202012,21.0,8.1
202101,18.3,11.8
202102,6.6,-5.5
202103,35.6,10.3
202104,42.2,0.9
202105,55.1,0.9
202106,69.9,6.2
202107,71.1,2.3
202108,69.4,3.1
202109,61.6,4.8
202110,51.5,6.5
202111,32.1,4.2
202112,18.1,5.2
