Montana, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201201,25.1,8.4
201202,24.9,3.6
201203,39.4,10.0
201204,44.8,4.1
201205,49.5,-0.7
201206,60.2,1.9
201207,70.7,5.0
201208,66.7,2.6
201209,58.2,4.4
201210,41.0,-2.2
201211,32.4,2.9
201212,21.5,0.9
201301,21.7,5.0
201302,27.4,6.1
201303,30.5,1.1
201304,36.9,-3.8
201305,51.9,1.7
201306,59.0,0.7
201307,67.5,1.8
201308,67.3,3.2
201309,58.8,5.0
201310,40.8,-2.4
201311,30.4,0.9
201312,16.4,-4.2
201401,24.5,7.8
201402,14.7,-6.6
201403,29.4,0.0
201404,41.0,0.3
201405,51.1,0.9
201406,56.5,-1.8
201407,67.6,1.9
201408,64.8,0.7
201409,55.1,1.3
201410,47.9,4.7
201411,25.3,-4.2
201412,25.0,4.4
201501,24.7,8.0
201502,26.9,5.6
201503,39.5,10.1
201504,42.8,2.1
201505,49.6,-0.6
201506,63.8,5.5
201507,66.2,0.5
201508,65.9,1.8
201509,57.3,3.5
201510,48.0,4.8
201511,30.0,0.5
201512,23.6,3.0
201601,23.4,6.7
201602,33.6,12.3
201603,37.4,8.0
201604,45.0,4.3
201605,51.0,0.8
201606,62.4,4.1
201607,65.9,0.2
201608,64.4,0.3
201609,54.8,1.0
201610,44.3,1.1
201611,39.1,9.6
201612,14.2,-6.4
201701,15.2,-1.5
201702,25.4,4.1
201703,35.8,6.4
201704,42.1,1.4
201705,52.3,2.1
201706,60.6,2.3
201707,71.6,5.9
201708,65.5,1.4
201709,55.2,1.4
201710,42.6,-0.6
201711,30.7,1.2
201712,21.1,0.5
201801,21.7,5.0
201802,11.4,-9.9
201803,28.3,-1.1
201804,37.9,-2.8
201805,55.7,5.5
201806,59.2,0.9
201807,66.8,1.1
201808,64.5,0.4
201809,53.0,-0.8
201810,41.6,-1.6
201811,30.2,0.7
201812,25.0,4.4
201901,24.7,8.0
201902,5.1,-16.2
201903,25.2,-4.2
201904,41.9,1.2
201905,47.7,-2.5
201906,58.6,0.3
201907,65.0,-0.7
201908,64.8,0.7
201909,55.0,1.2
201910,35.4,-7.8
201911,29.3,-0.2
201912,25.8,5.2
202001,23.4,6.7
202002,25.6,4.3
202003,31.6,2.2
202004,38.3,-2.4
202005,50.6,0.4
202006,59.3,1.0
202007,65.6,-0.1
202008,67.4,3.3
202009,57.0,3.2
202010,39.3,-3.9
202011,32.8,3.3
202012,28.5,7.9
202101,26.7,10.0
202102,13.7,-7.6
202103,36.1,6.7
202104,40.4,-0.3
202105,48.6,-1.6
202106,65.2,6.9
202107,72.5,6.8
202108,64.7,0.6
202109,58.3,4.5
202110,45.6,2.4
202111,36.3,6.8
202112,19.3,-1.3
