New Mexico, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201201,38.6,5.0
201202,38.2,0.4
201203,47.8,4.3
201204,56.6,5.2
201205,63.4,3.2
201206,74.2,5.0
201207,74.4,1.7
201208,73.9,3.0
201209,66.2,1.7
201210,56.1,2.0
201211,46.6,4.5
201212,36.0,1.7
201301,32.0,-1.6
201302,36.1,-1.7
201303,46.6,3.1
201304,52.6,1.2
201305,61.6,1.4
201306,74.1,4.9
201307,73.0,0.3
201308,72.3,1.4
201309,66.0,1.5
201310,52.6,-1.5
201311,42.7,0.6
201312,34.5,0.2
201401,36.4,2.8
201402,41.9,4.1
201403,46.0,2.5
201404,52.3,0.9
201405,60.1,-0.1
201406,72.4,3.2
201407,74.2,1.5
201408,70.5,-0.4
201409,66.5,2.0
201410,57.4,3.3
201411,42.4,0.3
201412,37.6,3.3
201501,35.6,2.0
201502,41.4,3.6
201503,47.6,4.1
201504,52.5,1.1
201505,58.3,-1.9
201506,71.6,2.4
201507,73.1,0.4
201508,73.4,2.5
201509,69.0,4.5
201510,57.5,3.4
201511,43.4,1.3
201512,35.9,1.6
201601,34.3,0.7
201602,42.0,4.2
201603,48.3,4.8
201604,52.3,0.9
201605,59.4,-0.8
201606,73.0,3.8
201607,76.9,4.2
201608,70.1,-0.8
201609,65.9,1.4
201610,59.6,5.5
201611,46.7,4.6
201612,37.8,3.5
201701,37.2,3.6
201702,44.5,6.7
201703,51.2,7.7
201704,53.7,2.3
201705,60.1,-0.1
201706,72.8,3.6
201707,74.6,1.9
201708,70.8,-0.1
201709,66.4,1.9
201710,56.4,2.3
201711,50.2,8.1
201712,38.7,4.4
201801,37.0,3.4
201802,41.3,3.5
201803,47.2,3.7
201804,55.1,3.7
201805,65.5,5.3
201806,74.3,5.1
201807,75.1,2.4
201808,73.0,2.1
201809,66.9,2.4
201810,53.9,-0.2
201811,41.2,-0.9
201812,35.6,1.3
201901,35.6,2.0
201902,38.1,0.3
201903,45.6,2.1
201904,53.9,2.5
201905,58.1,-2.1
201906,69.4,0.2
201907,75.5,2.8
201908,75.3,4.4
201909,69.0,4.5
201910,52.2,-1.9
201911,43.5,1.4
201912,37.2,2.9
202001,37.1,3.5
202002,38.5,0.7
202003,48.0,4.5
202004,54.0,2.6
202005,65.1,4.9
202006,72.5,3.3
202007,76.6,3.9
202008,76.2,5.3
202009,65.0,0.5
202010,56.6,2.5
202011,47.5,5.4
202012,35.0,0.7
202101,35.0,1.4
202102,37.2,-0.6
202103,44.8,1.3
202104,53.1,1.7
202105,62.6,2.4
202106,73.2,4.0
202107,73.3,0.6
202108,72.1,1.2
202109,68.2,3.7
202110,55.5,1.4
202111,47.7,5.6
202112,42.0,7.7
