Arkansas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201201,44.6,5.3
201202,47.2,4.1
201203,62.2,10.9
201204,64.4,3.9
201205,73.2,4.5
201206,78.0,1.5
201207,84.1,3.8
201208,80.2,0.9
201209,73.5,0.7
201210,59.3,-2.5
201211,50.2,0.3
201212,46.4,4.9
201301,42.1,2.8
201302,43.3,0.2
201303,46.6,-4.7
201304,58.5,-2.0
201305,67.2,-1.5
201306,77.1,0.6
201307,78.0,-2.3
201308,78.4,-0.9
201309,75.4,2.6
201310,61.5,-0.3
201311,47.5,-2.4
201312,40.1,-1.4
201401,35.2,-4.1
201402,38.8,-4.3
201403,46.5,-4.8
201404,59.6,-0.9
201405,68.1,-0.6
201406,76.7,0.2
201407,75.4,-4.9
201408,78.7,-0.6
201409,72.6,-0.2
201410,63.7,1.9
201411,44.9,-5.0
201412,43.8,2.3
201501,38.6,-0.7
201502,36.1,-7.0
201503,49.7,-1.6
201504,62.5,2.0
201505,69.3,0.6
201506,78.1,1.6
201507,81.9,1.6
201508,78.1,-1.2
201509,74.8,2.0
201510,63.5,1.7
201511,54.2,4.3
201512,50.0,8.5
201601,39.5,0.2
201602,46.9,3.8
201603,55.5,4.2
201604,62.5,2.0
201605,67.2,-1.5
201606,78.9,2.4
201607,82.0,1.7
201608,80.0,0.7
201609,75.8,3.0
201610,67.0,5.2
201611,55.7,5.8
201612,42.5,1.0
201701,45.2,5.9
201702,52.5,9.4
201703,55.7,4.4
201704,64.2,3.7
201705,67.7,-1.0
201706,75.5,-1.0
201707,80.6,0.3
201708,76.9,-2.4
201709,73.2,0.4
201710,62.9,1.1
201711,53.7,3.8
201712,42.4,0.9
201801,35.7,-3.6
201802,45.9,2.8
201803,53.9,2.6
201804,55.2,-5.3
201805,75.0,6.3
201806,80.1,3.6
201807,81.8,1.5
201808,78.8,-0.5
201809,75.0,2.2
201810,62.6,0.8
201811,45.8,-4.1
201812,44.2,2.7
201901,40.8,1.5
201902,46.0,2.9
201903,48.9,-2.4
201904,60.8,0.3
201905,70.6,1.9
201906,75.6,-0.9
201907,79.0,-1.3
201908,80.3,1.0
201909,79.7,6.9
201910,60.8,-1.0
201911,46.4,-3.5
201912,45.7,4.2
202001,43.9,4.6
202002,44.5,1.4
202003,56.5,5.2
202004,58.8,-1.7
202005,66.8,-1.9
202006,76.4,-0.1
202007,81.3,1.0
202008,77.8,-1.5
202009,71.8,-1.0
202010,59.4,-2.4
202011,54.0,4.1
202012,42.6,1.1
202101,41.3,2.0
202102,34.7,-8.4
202103,55.1,3.8
202104,58.2,-2.3
202105,66.7,-2.0
202106,76.8,0.3
202107,79.2,-1.1
202108,80.6,1.3
202109,74.2,1.4
202110,65.4,3.6
202111,49.3,-0.6
202112,53.3,11.8
