North Dakota, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201201,20.0,13.6
201202,21.0,9.1
201203,40.6,15.8
201204,45.8,4.6
201205,55.0,1.3
201206,65.5,2.6
201207,74.1,5.1
201208,67.4,0.5
201209,58.2,1.9
201210,41.2,-2.8
201211,27.5,1.1
201212,13.3,0.6
201301,11.4,5.0
201302,16.8,4.9
201303,17.6,-7.2
201304,31.3,-9.9
201305,53.4,-0.3
201306,63.3,0.4
201307,68.3,-0.7
201308,68.6,1.7
201309,62.0,5.7
201310,41.6,-2.4
201311,26.2,-0.2
201312,5.0,-7.7
201401,8.5,2.1
201402,5.6,-6.3
201403,22.7,-2.1
201404,38.2,-3.0
201405,53.7,0.0
201406,62.5,-0.4
201407,66.8,-2.2
201408,67.0,0.1
201409,57.8,1.5
201410,46.5,2.5
201411,20.2,-6.2
201412,18.2,5.5
201501,16.0,9.6
201502,8.4,-3.5
201503,33.0,8.2
201504,44.3,3.1
201505,52.4,-1.3
201506,65.1,2.2
201507,69.9,0.9
201508,68.0,1.1
201509,62.0,5.7
201510,47.8,3.8
201511,32.5,6.1
201512,21.1,8.4
201601,14.6,8.2
201602,25.6,13.7
201603,36.3,11.5
201604,41.8,0.6
201605,56.6,2.9
201606,66.0,3.1
201607,69.3,0.3
201608,68.0,1.1
201609,58.6,2.3
201610,46.1,2.1
201611,39.3,12.9
201612,10.2,-2.5
201701,11.2,4.8
201702,20.5,8.6
201703,27.4,2.6
201704,42.7,1.5
201705,54.8,1.1
201706,64.8,1.9
201707,72.2,3.2
201708,65.2,-1.7
201709,58.3,2.0
201710,45.0,1.0
201711,26.4,0.0
201712,15.6,2.9
201801,11.8,5.4
201802,5.4,-6.5
201803,24.7,-0.1
201804,33.3,-7.9
201805,60.2,6.5
201806,67.4,4.5
201807,69.3,0.3
201808,67.6,0.7
201809,55.0,-1.3
201810,39.1,-4.9
201811,22.9,-3.5
201812,20.8,8.1
201901,9.8,3.4
201902,-2.7,-14.6
201903,20.6,-4.2
201904,41.8,0.6
201905,49.6,-4.1
201906,64.0,1.1
201907,69.3,0.3
201908,65.5,-1.4
201909,58.3,2.0
201910,37.6,-6.4
201911,26.1,-0.3
201912,16.1,3.4
202001,12.9,6.5
202002,17.8,5.9
202003,29.8,5.0
202004,37.6,-3.6
202005,52.5,-1.2
202006,66.9,4.0
202007,70.3,1.3
202008,69.2,2.3
202009,57.1,0.8
202010,37.8,-6.2
202011,31.8,5.4
202012,23.4,10.7
202101,21.1,14.7
202102,5.8,-6.1
202103,35.8,11.0
202104,40.7,-0.5
202105,52.7,-1.0
202106,69.3,6.4
202107,73.8,4.8
202108,68.9,2.0
202109,62.2,5.9
202110,48.6,4.6
202111,32.6,6.2
202112,14.1,1.4
