Oregon, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201201,34.4,4.2
201202,34.6,0.5
201203,38.3,0.0
201204,45.9,2.0
201205,50.8,0.3
201206,55.5,-1.7
201207,66.3,1.5
201208,67.7,3.8
201209,61.8,4.5
201210,48.8,0.7
201211,40.6,2.9
201212,31.5,-0.3
201301,29.7,-0.5
201302,35.1,1.0
201303,40.9,2.6
201304,44.6,0.7
201305,52.5,2.0
201306,59.4,2.2
201307,69.4,4.6
201308,66.5,2.6
201309,58.3,1.0
201310,46.2,-1.9
201311,39.4,1.7
201312,29.7,-2.1
201401,36.7,6.5
201402,35.3,1.2
201403,41.8,3.5
201404,45.8,1.9
201405,53.3,2.8
201406,58.1,0.9
201407,70.0,5.2
201408,66.6,2.7
201409,60.8,3.5
201410,52.9,4.8
201411,38.2,0.5
201412,36.0,4.2
201501,38.1,7.9
201502,41.7,7.6
201503,45.7,7.4
201504,44.7,0.8
201505,53.5,3.0
201506,65.6,8.4
201507,67.5,2.7
201508,66.9,3.0
201509,58.1,0.8
201510,54.3,6.2
201511,35.8,-1.9
201512,32.4,0.6
201601,33.1,2.9
201602,40.2,6.1
201603,41.2,2.9
201604,50.1,6.2
201605,53.2,2.7
201606,60.5,3.3
201607,64.4,-0.4
201608,66.7,2.8
201609,57.1,-0.2
201610,48.1,0.0
201611,43.2,5.5
201612,27.4,-4.4
201701,26.7,-3.5
201702,34.8,0.7
201703,41.6,3.3
201704,42.9,-1.0
201705,52.9,2.4
201706,59.9,2.7
201707,69.2,4.4
201708,69.6,5.7
201709,59.6,2.3
201710,47.0,-1.1
201711,39.3,1.6
201712,32.9,1.1
201801,37.5,7.3
201802,33.2,-0.9
201803,38.4,0.1
201804,45.0,1.1
201805,55.4,4.9
201806,58.5,1.3
201807,69.0,4.2
201808,66.5,2.6
201809,57.4,0.1
201810,48.8,0.7
201811,39.3,1.6
201812,32.3,0.5
201901,35.3,5.1
201902,28.8,-5.3
201903,37.3,-1.0
201904,46.1,2.2
201905,52.7,2.2
201906,59.0,1.8
201907,64.9,0.1
201908,67.1,3.2
201909,56.6,-0.7
201910,43.2,-4.9
201911,40.5,2.8
201912,34.2,2.4
202001,34.9,4.7
202002,35.8,1.7
202003,38.8,0.5
202004,46.3,2.4
202005,52.6,2.1
202006,57.9,0.7
202007,66.0,1.2
202008,67.2,3.3
202009,62.6,5.3
202010,51.3,3.2
202011,38.3,0.6
202012,34.2,2.4
202101,34.8,4.6
202102,33.6,-0.5
202103,39.0,0.7
202104,46.6,2.7
202105,52.0,1.5
202106,65.2,8.0
202107,71.4,6.6
202108,66.4,2.5
202109,59.4,2.1
202110,47.6,-0.5
202111,41.9,4.2
202112,32.4,0.6
