Pennsylvania, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201201,30.0,4.7
201202,34.3,7.8
201203,47.7,11.9
201204,47.7,0.9
201205,63.7,6.1
201206,66.5,0.5
201207,74.1,3.7
201208,69.8,1.4
201209,62.0,0.3
201210,52.2,1.6
201211,37.8,-1.5
201212,35.8,6.9
201301,29.0,3.7
201302,27.4,0.9
201303,33.8,-2.0
201304,48.7,1.9
201305,58.9,1.3
201306,67.4,1.4
201307,72.7,2.3
201308,67.6,-0.8
201309,61.0,-0.7
201310,53.4,2.8
201311,37.4,-1.9
201312,30.8,1.9
201401,19.6,-5.7
201402,22.8,-3.7
201403,30.3,-5.5
201404,47.7,0.9
201405,59.0,1.4
201406,67.6,1.6
201407,69.1,-1.3
201408,66.9,-1.5
201409,62.5,0.8
201410,53.0,2.4
201411,36.7,-2.6
201412,34.0,5.1
201501,22.5,-2.8
201502,16.1,-10.4
201503,31.6,-4.2
201504,48.4,1.6
201505,63.4,5.8
201506,67.1,1.1
201507,70.4,0.0
201508,68.9,0.5
201509,66.6,4.9
201510,50.7,0.1
201511,45.5,6.2
201512,42.3,13.4
201601,25.4,0.1
201602,30.7,4.2
201603,43.3,7.5
201604,47.0,0.2
201605,57.4,-0.2
201606,67.4,1.4
201607,73.0,2.6
201608,73.4,5.0
201609,66.2,4.5
201610,53.6,3.0
201611,42.6,3.3
201612,31.2,2.3
201701,31.8,6.5
201702,36.6,10.1
201703,35.3,-0.5
201704,53.7,6.9
201705,57.1,-0.5
201706,66.8,0.8
201707,71.4,1.0
201708,67.4,-1.0
201709,63.8,2.1
201710,56.2,5.6
201711,39.2,-0.1
201712,28.0,-0.9
201801,23.1,-2.2
201802,34.3,7.8
201803,33.0,-2.8
201804,43.2,-3.6
201805,64.0,6.4
201806,66.6,0.6
201807,71.6,1.2
201808,72.1,3.7
201809,66.7,5.0
201810,52.3,1.7
201811,36.7,-2.6
201812,33.5,4.6
201901,25.8,0.5
201902,30.2,3.7
201903,34.7,-1.1
201904,50.5,3.7
201905,60.7,3.1
201906,65.8,-0.2
201907,73.2,2.8
201908,69.6,1.2
201909,65.1,3.4
201910,53.7,3.1
201911,36.5,-2.8
201912,32.6,3.7
202001,32.2,6.9
202002,33.3,6.8
202003,42.5,6.7
202004,45.1,-1.7
202005,56.0,-1.6
202006,67.2,1.2
202007,74.9,4.5
202008,71.6,3.2
202009,62.1,0.4
202010,52.2,1.6
202011,44.8,5.5
202012,32.1,3.2
202101,29.3,4.0
202102,26.6,0.1
202103,40.7,4.9
202104,49.4,2.6
202105,57.0,-0.6
202106,68.6,2.6
202107,71.2,0.8
202108,72.5,4.1
202109,64.3,2.6
202110,57.7,7.1
202111,39.1,-0.2
202112,37.6,8.7
