South Dakota, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201201,25.4,10.4
201202,25.7,5.8
201203,47.0,16.2
201204,50.2,5.5
201205,58.3,2.3
201206,70.4,4.7
201207,78.7,6.1
201208,71.0,0.5
201209,62.6,2.4
201210,45.6,-2.2
201211,34.9,3.2
201212,21.4,1.7
201301,19.4,4.4
201302,23.8,3.9
201303,28.1,-2.7
201304,36.9,-7.8
201305,55.9,-0.1
201306,65.3,-0.4
201307,71.8,-0.8
201308,71.6,1.1
201309,65.8,5.6
201310,44.3,-3.5
201311,32.1,0.4
201312,13.5,-6.2
201401,18.3,3.3
201402,13.9,-6.0
201403,29.4,-1.4
201404,43.4,-1.3
201405,55.6,-0.4
201406,64.2,-1.5
201407,69.5,-3.1
201408,69.3,-1.2
201409,60.5,0.3
201410,50.3,2.5
201411,25.6,-6.1
201412,24.2,4.5
201501,22.7,7.7
201502,19.5,-0.4
201503,39.0,8.2
201504,47.7,3.0
201505,53.8,-2.2
201506,67.6,1.9
201507,72.1,-0.5
201508,69.8,-0.7
201509,65.9,5.7
201510,51.6,3.8
201511,36.4,4.7
201512,24.3,4.6
201601,19.8,4.8
201602,31.2,11.3
201603,40.1,9.3
201604,46.3,1.6
201605,56.7,0.7
201606,70.7,5.0
201607,73.0,0.4
201608,71.0,0.5
201609,62.4,2.2
201610,51.6,3.8
201611,42.0,10.3
201612,15.4,-4.3
201701,16.5,1.5
201702,29.4,9.5
201703,35.5,4.7
201704,46.1,1.4
201705,56.0,0.0
201706,68.1,2.4
201707,76.0,3.4
201708,67.4,-3.1
201709,61.8,1.6
201710,48.0,0.2
201711,34.7,3.0
201712,21.7,2.0
201801,18.1,3.1
201802,11.6,-8.3
201803,30.4,-0.4
201804,36.7,-8.0
201805,62.1,6.1
201806,69.3,3.6
201807,72.2,-0.4
201808,69.9,-0.6
201809,61.5,1.3
201810,43.2,-4.6
201811,29.3,-2.4
201812,25.3,5.6
201901,18.0,3.0
201902,6.1,-13.8
201903,25.1,-5.7
201904,44.2,-0.5
201905,50.4,-5.6
201906,66.3,0.6
201907,72.1,-0.5
201908,68.2,-2.3
201909,63.1,2.9
201910,40.2,-7.6
201911,31.1,-0.6
201912,23.3,3.6
202001,20.1,5.1
202002,23.5,3.6
202003,36.4,5.6
202004,42.0,-2.7
202005,54.2,-1.8
202006,70.3,4.6
202007,73.5,0.9
202008,72.6,2.1
202009,60.4,0.2
202010,41.2,-6.6
202011,38.6,6.9
202012,28.3,8.6
202101,26.5,11.5
202102,12.8,-7.1
202103,39.4,8.6
202104,43.6,-1.1
202105,55.0,-1.0
202106,72.3,6.6
202107,75.4,2.8
202108,72.5,2.0
202109,65.0,4.8
202110,51.2,3.4
202111,38.2,6.5
202112,24.5,4.8
