Tennessee, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201201,42.4,5.2
201202,44.5,4.4
201203,59.8,11.4
201204,60.0,2.4
201205,70.4,4.3
201206,73.6,-0.2
201207,80.5,3.4
201208,75.6,-0.4
201209,69.1,-1.1
201210,56.7,-2.1
201211,45.8,-1.6
201212,45.6,6.4
201301,41.0,3.8
201302,40.8,0.7
201303,42.7,-5.7
201304,56.8,-0.8
201305,65.0,-1.1
201306,74.2,0.4
201307,74.8,-2.3
201308,74.7,-1.3
201309,70.7,0.5
201310,59.5,0.7
201311,44.8,-2.6
201312,40.4,1.2
201401,30.0,-7.2
201402,38.3,-1.8
201403,45.0,-3.4
201404,58.6,1.0
201405,67.3,1.2
201406,74.8,1.0
201407,73.4,-3.7
201408,75.9,-0.1
201409,70.7,0.5
201410,60.2,1.4
201411,42.4,-5.0
201412,42.8,3.6
201501,36.1,-1.1
201502,31.4,-8.7
201503,49.0,0.6
201504,60.1,2.5
201505,68.0,1.9
201506,75.9,2.1
201507,78.3,1.2
201508,74.2,-1.8
201509,70.9,0.7
201510,59.7,0.9
201511,53.5,6.1
201512,51.3,12.1
201601,34.8,-2.4
201602,42.5,2.4
201603,53.9,5.5
201604,59.5,1.9
201605,65.3,-0.8
201606,76.5,2.7
201607,79.8,2.7
201608,79.0,3.0
201609,74.1,3.9
201610,64.6,5.8
201611,52.7,5.3
201612,40.9,1.7
201701,44.9,7.7
201702,48.9,8.8
201703,51.1,2.7
201704,63.1,5.5
201705,66.6,0.5
201706,73.0,-0.8
201707,78.1,1.0
201708,74.6,-1.4
201709,69.1,-1.1
201710,60.8,2.0
201711,49.9,2.5
201712,39.5,0.3
201801,32.9,-4.3
201802,48.5,8.4
201803,48.2,-0.2
201804,52.9,-4.7
201805,72.3,6.2
201806,76.5,2.7
201807,78.1,1.0
201808,76.5,0.5
201809,74.9,4.7
201810,61.0,2.2
201811,44.4,-3.0
201812,42.7,3.5
201901,39.4,2.2
201902,46.7,6.6
201903,46.9,-1.5
201904,59.3,1.7
201905,70.1,4.0
201906,73.4,-0.4
201907,77.8,0.7
201908,76.9,0.9
201909,76.4,6.2
201910,61.7,2.9
201911,44.2,-3.2
201912,45.2,6.0
202001,43.0,5.8
202002,43.3,3.2
202003,54.7,6.3
202004,55.4,-2.2
202005,64.0,-2.1
202006,73.5,-0.3
202007,79.2,2.1
202008,76.4,0.4
202009,69.9,-0.3
202010,60.4,1.6
202011,51.9,4.5
202012,39.5,0.3
202101,39.7,2.5
202102,37.4,-2.7
202103,53.6,5.2
202104,56.2,-1.4
202105,64.1,-2.0
202106,74.0,0.2
202107,77.0,-0.1
202108,77.2,1.2
202109,69.6,-0.6
202110,63.4,4.6
202111,45.6,-1.8
202112,50.4,11.2
