Texas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201201,50.4,5.0
201202,51.8,2.4
201203,63.2,6.9
201204,70.2,5.4
201205,75.5,3.0
201206,82.4,2.8
201207,83.4,1.1
201208,83.7,1.8
201209,76.6,0.7
201210,65.9,-0.2
201211,59.0,4.4
201212,51.1,4.2
201301,47.9,2.5
201302,51.7,2.3
201303,57.2,0.9
201304,63.0,-1.8
201305,72.5,0.0
201306,81.8,2.2
201307,81.3,-1.0
201308,83.3,1.4
201309,78.2,2.3
201310,66.7,0.6
201311,52.9,-1.7
201312,44.8,-2.1
201401,44.5,-0.9
201402,48.4,-1.0
201403,54.8,-1.5
201404,65.4,0.6
201405,72.0,-0.5
201406,80.6,1.0
201407,81.7,-0.6
201408,82.6,0.7
201409,76.4,0.5
201410,69.6,3.5
201411,51.5,-3.1
201412,50.7,3.8
201501,44.0,-1.4
201502,48.2,-1.2
201503,56.2,-0.1
201504,66.6,1.8
201505,71.6,-0.9
201506,79.3,-0.3
201507,83.2,0.9
201508,83.3,1.4
201509,79.2,3.3
201510,69.2,3.1
201511,57.3,2.7
201512,51.5,4.6
201601,46.4,1.0
201602,54.4,5.0
201603,61.2,4.9
201604,66.1,1.3
201605,71.6,-0.9
201606,80.1,0.5
201607,85.4,3.1
201608,81.5,-0.4
201609,77.6,1.7
201610,70.9,4.8
201611,61.0,6.4
201612,49.6,2.7
201701,50.8,5.4
201702,58.4,9.0
201703,63.6,7.3
201704,67.1,2.3
201705,72.0,-0.5
201706,80.6,1.0
201707,83.6,1.3
201708,80.6,-1.3
201709,76.5,0.6
201710,66.5,0.4
201711,60.3,5.7
201712,47.8,0.9
201801,43.8,-1.6
201802,52.3,2.9
201803,61.7,5.4
201804,63.0,-1.8
201805,78.0,5.5
201806,83.9,4.3
201807,84.5,2.2
201808,83.0,1.1
201809,76.2,0.3
201810,65.4,-0.7
201811,51.9,-2.7
201812,48.3,1.4
201901,47.2,1.8
201902,51.9,2.5
201903,55.7,-0.6
201904,65.0,0.2
201905,72.5,0.0
201906,79.1,-0.5
201907,82.8,0.5
201908,85.9,4.0
201909,81.5,5.6
201910,65.2,-0.9
201911,53.2,-1.4
201912,50.7,3.8
202001,50.7,5.3
202002,49.4,0.0
202003,63.2,6.9
202004,65.1,0.3
202005,74.6,2.1
202006,80.7,1.1
202007,85.2,2.9
202008,84.4,2.5
202009,74.1,-1.8
202010,65.9,-0.2
202011,60.6,6.0
202012,48.5,1.6
202101,47.3,1.9
202102,44.0,-5.4
202103,59.5,3.2
202104,63.7,-1.1
202105,71.9,-0.6
202106,80.3,0.7
202107,80.9,-1.4
202108,82.0,0.1
202109,78.3,2.4
202110,69.8,3.7
202111,57.4,2.8
202112,59.1,12.2
