Utah, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201201,31.0,5.7
201202,31.7,1.4
201203,42.6,5.3
201204,49.6,4.1
201205,58.0,3.3
201206,68.7,4.7
201207,73.2,1.7
201208,73.0,3.6
201209,63.6,3.0
201210,50.9,2.0
201211,41.2,5.2
201212,27.8,0.8
201301,19.7,-5.6
201302,27.6,-2.7
201303,41.0,3.7
201304,45.0,-0.5
201305,56.0,1.3
201306,69.2,5.2
201307,74.6,3.1
201308,71.0,1.6
201309,61.4,0.8
201310,46.4,-2.5
201311,38.0,2.0
201312,23.1,-3.9
201401,30.4,5.1
201402,35.7,5.4
201403,41.0,3.7
201404,46.7,1.2
201405,56.5,1.8
201406,66.0,2.0
201407,74.6,3.1
201408,67.7,-1.7
201409,64.2,3.6
201410,53.1,4.2
201411,37.7,1.7
201412,31.7,4.7
201501,32.1,6.8
201502,38.9,8.6
201503,44.9,7.6
201504,47.1,1.6
201505,53.8,-0.9
201506,70.0,6.0
201507,70.1,-1.4
201508,71.0,1.6
201509,65.5,4.9
201510,54.3,5.4
201511,34.5,-1.5
201512,26.6,-0.4
201601,26.6,1.3
201602,33.7,3.4
201603,42.2,4.9
201604,47.9,2.4
201605,54.4,-0.3
201606,70.9,6.9
201607,73.7,2.2
201608,70.1,0.7
201609,61.1,0.5
201610,53.2,4.3
201611,41.6,5.6
201612,27.4,0.4
201701,25.9,0.6
201702,36.5,6.2
201703,45.3,8.0
201704,46.0,0.5
201705,55.6,0.9
201706,69.5,5.5
201707,75.0,3.5
201708,71.6,2.2
201709,60.7,0.1
201710,48.1,-0.8
201711,43.0,7.0
201712,31.4,4.4
201801,32.8,7.5
201802,32.2,1.9
201803,39.2,1.9
201804,49.0,3.5
201805,58.3,3.6
201806,69.1,5.1
201807,76.1,4.6
201808,72.4,3.0
201809,65.8,5.2
201810,47.5,-1.4
201811,35.0,-1.0
201812,27.4,0.4
201901,27.0,1.7
201902,27.2,-3.1
201903,38.2,0.9
201904,48.6,3.1
201905,50.5,-4.2
201906,63.6,-0.4
201907,73.3,1.8
201908,72.8,3.4
201909,63.1,2.5
201910,42.9,-6.0
201911,38.5,2.5
201912,28.8,1.8
202001,28.7,3.4
202002,31.1,0.8
202003,40.8,3.5
202004,47.4,1.9
202005,59.0,4.3
202006,65.4,1.4
202007,73.7,2.2
202008,75.8,6.4
202009,63.9,3.3
202010,52.8,3.9
202011,38.8,2.8
202012,27.2,0.2
202101,28.1,2.8
202102,32.2,1.9
202103,38.4,1.1
202104,47.4,1.9
202105,57.1,2.4
202106,71.9,7.9
202107,76.2,4.7
202108,70.9,1.5
202109,64.5,3.9
202110,47.9,-1.0
202111,42.5,6.5
202112,31.1,4.1
