Vermont, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201201,21.4,6.1
201202,25.6,9.1
201203,38.7,11.5
201204,42.7,2.8
201205,57.5,5.3
201206,62.2,1.2
201207,68.0,2.1
201208,67.1,3.7
201209,57.2,1.2
201210,49.3,4.1
201211,33.1,-0.1
201212,27.4,7.2
201301,18.6,3.3
201302,21.5,5.0
201303,29.5,2.3
201304,40.8,0.9
201305,55.1,2.9
201306,62.0,1.0
201307,69.7,3.8
201308,64.1,0.7
201309,56.5,0.5
201310,47.8,2.6
201311,31.8,-1.4
201312,21.4,1.2
201401,14.6,-0.7
201402,16.6,0.1
201403,18.6,-8.6
201404,40.5,0.6
201405,53.6,1.4
201406,62.6,1.6
201407,66.5,0.6
201408,63.3,-0.1
201409,57.5,1.5
201410,49.3,4.1
201411,33.3,0.1
201412,27.0,6.8
201501,12.2,-3.1
201502,5.3,-11.2
201503,22.3,-4.9
201504,39.5,-0.4
201505,58.6,6.4
201506,59.9,-1.1
201507,66.2,0.3
201508,66.6,3.2
201509,62.4,6.4
201510,44.3,-0.9
201511,39.2,6.0
201512,35.1,14.9
201601,20.9,5.6
201602,23.9,7.4
201603,33.6,6.4
201604,38.2,-1.7
201605,54.0,1.8
201606,62.0,1.0
201607,67.4,1.5
201608,67.5,4.1
201609,59.9,3.9
201610,47.7,2.5
201611,36.8,3.6
201612,23.9,3.7
201701,24.8,9.5
201702,25.6,9.1
201703,23.5,-3.7
201704,45.2,5.3
201705,51.8,-0.4
201706,61.5,0.5
201707,65.2,-0.7
201708,63.3,-0.1
201709,60.8,4.8
201710,53.0,7.8
201711,33.0,-0.2
201712,17.9,-2.3
201801,16.5,1.2
201802,25.5,9.0
201803,28.2,1.0
201804,36.1,-3.8
201805,56.5,4.3
201806,60.1,-0.9
201807,69.2,3.3
201808,68.4,5.0
201809,60.6,4.6
201810,44.5,-0.7
201811,30.0,-3.2
201812,23.0,2.8
201901,14.9,-0.4
201902,19.0,2.5
201903,25.9,-1.3
201904,41.2,1.3
201905,50.8,-1.4
201906,60.5,-0.5
201907,68.9,3.0
201908,64.6,1.2
201909,56.8,0.8
201910,47.3,2.1
201911,29.3,-3.9
201912,23.3,3.1
202001,23.4,8.1
202002,22.4,5.9
202003,33.0,5.8
202004,38.8,-1.1
202005,52.6,0.4
202006,62.8,1.8
202007,70.9,5.0
202008,65.2,1.8
202009,57.2,1.2
202010,46.4,1.2
202011,37.9,4.7
202012,27.3,7.1
202101,20.4,5.1
202102,18.8,2.3
202103,30.9,3.7
202104,43.1,3.2
202105,53.5,1.3
202106,65.7,4.7
202107,64.9,-1.0
202108,69.0,5.6
202109,59.6,3.6
202110,51.8,6.6
202111,34.4,1.2
202112,28.2,8.0
