Washington, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201201,30.7,2.3
201202,34.5,1.4
201203,37.6,-1.0
201204,46.0,0.9
201205,50.9,-0.9
201206,55.0,-2.7
201207,65.2,1.1
201208,66.2,2.7
201209,59.7,2.8
201210,47.4,0.2
201211,39.0,2.4
201212,32.5,1.9
201301,29.1,0.7
201302,35.5,2.4
201303,40.2,1.6
201304,44.7,-0.4
201305,53.5,1.7
201306,58.7,1.0
201307,67.2,3.1
201308,66.2,2.7
201309,59.7,2.8
201310,46.1,-1.1
201311,36.7,0.1
201312,28.2,-2.4
201401,34.1,5.7
201402,29.8,-3.3
201403,40.1,1.5
201404,45.8,0.7
201405,54.3,2.5
201406,58.3,0.6
201407,68.6,4.5
201408,67.3,3.8
201409,59.8,2.9
201410,51.9,4.7
201411,36.3,-0.3
201412,34.2,3.6
201501,35.1,6.7
201502,40.7,7.6
201503,44.8,6.2
201504,45.7,0.6
201505,56.0,4.2
201506,65.5,7.8
201507,68.6,4.5
201508,66.6,3.1
201509,56.2,-0.7
201510,52.4,5.2
201511,36.0,-0.6
201512,32.1,1.5
201601,33.0,4.6
201602,39.1,6.0
201603,41.8,3.2
201604,51.6,6.5
201605,55.1,3.3
201606,59.9,2.2
201607,63.6,-0.5
201608,65.9,2.4
201609,56.4,-0.5
201610,47.4,0.2
201611,43.0,6.4
201612,26.1,-4.5
201701,24.8,-3.6
201702,31.0,-2.1
201703,39.3,0.7
201704,44.2,-0.9
201705,53.7,1.9
201706,59.5,1.8
201707,67.1,3.0
201708,68.6,5.1
201709,59.8,2.9
201710,46.2,-1.0
201711,37.7,1.1
201712,29.9,-0.7
201801,35.4,7.0
201802,32.4,-0.7
201803,38.8,0.2
201804,45.3,0.2
201805,57.6,5.8
201806,58.2,0.5
201807,67.5,3.4
201808,66.0,2.5
201809,56.3,-0.6
201810,47.4,0.2
201811,38.6,2.0
201812,33.1,2.5
201901,34.2,5.8
201902,25.3,-7.8
201903,36.2,-2.4
201904,46.3,1.2
201905,55.6,3.8
201906,59.5,1.8
201907,63.8,-0.3
201908,66.4,2.9
201909,57.1,0.2
201910,42.8,-4.4
201911,37.6,1.0
201912,33.5,2.9
202001,34.2,5.8
202002,35.6,2.5
202003,38.3,-0.3
202004,46.0,0.9
202005,53.3,1.5
202006,57.9,0.2
202007,64.8,0.7
202008,65.7,2.2
202009,61.2,4.3
202010,48.4,1.2
202011,37.6,1.0
202012,33.7,3.1
202101,34.6,6.2
202102,31.3,-1.8
202103,39.7,1.1
202104,46.8,1.7
202105,52.6,0.8
202106,64.6,6.9
202107,69.7,5.6
202108,65.9,2.4
202109,58.0,1.1
202110,46.6,-0.6
202111,39.9,3.3
202112,29.5,-1.1
