Colorado, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201201,29.4,5.7
201202,27.4,0.0
201203,41.9,8.2
201204,48.2,5.7
201205,55.4,3.6
201206,67.9,6.7
201207,70.6,3.5
201208,67.7,2.5
201209,59.5,2.2
201210,46.5,0.0
201211,39.4,5.9
201212,25.9,0.7
201301,22.9,-0.8
201302,25.7,-1.7
201303,35.0,1.3
201304,39.8,-2.7
201305,52.8,1.0
201306,65.6,4.4
201307,68.5,1.4
201308,67.0,1.8
201309,60.7,3.4
201310,44.2,-2.3
201311,35.2,1.7
201312,23.7,-1.5
201401,26.4,2.7
201402,27.6,0.2
201403,36.3,2.6
201404,43.3,0.8
201405,52.4,0.6
201406,62.5,1.3
201407,68.4,1.3
201408,64.6,-0.6
201409,60.0,2.7
201410,49.9,3.4
201411,33.4,-0.1
201412,27.9,2.7
201501,29.2,5.5
201502,32.1,4.7
201503,40.6,6.9
201504,44.8,2.3
201505,49.8,-2.0
201506,64.9,3.7
201507,66.6,-0.5
201508,66.9,1.7
201509,62.6,5.3
201510,51.4,4.9
201511,34.6,1.1
201512,25.8,0.6
201601,25.6,1.9
201602,32.4,5.0
201603,37.9,4.2
201604,43.7,1.2
201605,50.8,-1.0
201606,66.4,5.2
201607,69.2,2.1
201608,64.5,-0.7
201609,59.7,2.4
201610,51.8,5.3
201611,40.2,6.7
201612,25.2,0.0
201701,25.3,1.6
201702,35.4,8.0
201703,42.5,8.8
201704,44.3,1.8
201705,51.5,-0.3
201706,64.8,3.6
201707,69.4,2.3
201708,64.7,-0.5
201709,59.1,1.8
201710,46.7,0.2
201711,41.3,7.8
201712,30.1,4.9
201801,29.7,6.0
201802,28.6,1.2
201803,37.8,4.1
201804,44.0,1.5
201805,57.2,5.4
201806,66.5,5.3
201807,70.0,2.9
201808,66.2,1.0
201809,61.9,4.6
201810,45.0,-1.5
201811,32.5,-1.0
201812,26.6,1.4
201901,26.0,2.3
201902,24.9,-2.5
201903,33.8,0.1
201904,45.5,3.0
201905,47.9,-3.9
201906,60.6,-0.6
201907,69.1,2.0
201908,68.3,3.1
201909,62.9,5.6
201910,40.9,-5.6
201911,35.2,1.7
201912,28.1,2.9
202001,27.4,3.7
202002,26.4,-1.0
202003,38.8,5.1
202004,43.4,0.9
202005,55.6,3.8
202006,65.0,3.8
202007,69.3,2.2
202008,70.1,4.9
202009,58.8,1.5
202010,47.1,0.6
202011,38.5,5.0
202012,26.7,1.5
202101,26.7,3.0
202102,24.8,-2.6
202103,35.8,2.1
202104,43.1,0.6
202105,52.9,1.1
202106,65.7,4.5
202107,69.9,2.8
202108,67.4,2.2
202109,62.4,5.1
202110,47.8,1.3
202111,40.7,7.2
202112,32.4,7.2
