Florida, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201201,59.3,1.5
201202,64.3,4.9
201203,70.3,6.3
201204,71.2,1.9
201205,77.6,2.5
201206,79.3,-0.2
201207,82.4,1.4
201208,81.5,0.4
201209,79.5,0.4
201210,73.2,0.9
201211,62.1,-2.2
201212,62.0,3.2
201301,64.0,6.2
201302,61.8,2.4
201303,59.1,-4.9
201304,71.4,2.1
201305,74.0,-1.1
201306,81.1,1.6
201307,80.8,-0.2
201308,82.2,1.1
201309,80.0,0.9
201310,74.0,1.7
201311,67.1,2.8
201312,64.7,5.9
201401,54.5,-3.3
201402,62.8,3.4
201403,63.5,-0.5
201404,70.5,1.2
201405,76.0,0.9
201406,80.3,0.8
201407,81.8,0.8
201408,82.9,1.8
201409,79.7,0.6
201410,72.7,0.4
201411,61.1,-3.2
201412,61.9,3.1
201501,58.6,0.8
201502,56.5,-2.9
201503,69.5,5.5
201504,75.1,5.8
201505,77.5,2.4
201506,81.7,2.2
201507,82.8,1.8
201508,82.4,1.3
201509,80.0,0.9
201510,74.4,2.1
201511,72.2,7.9
201512,69.6,10.8
201601,56.9,-0.9
201602,59.4,0.0
201603,68.8,4.8
201604,71.2,1.9
201605,76.2,1.1
201606,81.9,2.4
201607,84.0,3.0
201608,83.0,1.9
201609,81.1,2.0
201610,74.6,2.3
201611,66.6,2.3
201612,65.9,7.1
201701,62.8,5.0
201702,65.5,6.1
201703,66.2,2.2
201704,72.3,3.0
201705,77.1,2.0
201706,80.2,0.7
201707,82.8,1.8
201708,82.8,1.7
201709,80.4,1.3
201710,74.9,2.6
201711,67.4,3.1
201712,61.7,2.9
201801,55.0,-2.8
201802,69.2,9.8
201803,63.0,-1.0
201804,70.2,0.9
201805,76.4,1.3
201806,81.5,2.0
201807,82.4,1.4
201808,82.2,1.1
201809,82.4,3.3
201810,76.5,4.2
201811,66.7,2.4
201812,61.8,3.0
201901,58.4,0.6
201902,67.5,8.1
201903,65.7,1.7
201904,71.2,1.9
201905,78.8,3.7
201906,82.3,2.8
201907,82.8,1.8
201908,82.9,1.8
201909,81.9,2.8
201910,77.9,5.6
201911,64.9,0.6
201912,63.9,5.1
202001,61.8,4.0
202002,63.6,4.2
202003,71.0,7.0
202004,73.1,3.8
202005,75.8,0.7
202006,81.0,1.5
202007,83.0,2.0
202008,83.2,2.1
202009,80.6,1.5
202010,77.2,4.9
202011,70.8,6.5
202012,57.6,-1.2
202101,58.6,0.8
202102,63.7,4.3
202103,67.7,3.7
202104,69.8,0.5
202105,76.1,1.0
202106,80.7,1.2
202107,81.9,0.9
202108,82.6,1.5
202109,79.7,0.6
202110,75.3,3.0
202111,63.4,-0.9
202112,66.5,7.7
