Year,Month,Tweet,crime_proportion,Temperature
2012,1,3.54E-05,0.006793366,36.12
2012,2,3.82E-05,0.00713443,37.51
2012,3,4.37E-05,0.006828237,50.41
2012,4,5.06E-05,0.006561635,54.68
2012,5,4.55E-05,0.006355997,63.45
2012,6,4.37E-05,0.006364918,70.54
2012,7,3.87E-05,0.006771329,76.77
2012,8,3.74E-05,0.00670633,73.8
2012,9,3.59E-05,0.006515077,66.31
2012,10,3.48E-05,0.006254087,53.89
2012,11,2.94E-05,0.005963905,44.01
2012,12,2.84E-05,0.005957142,35.92
2013,1,3.26E-05,0.007858059,32.25
2013,2,3.40E-05,0.008119161,34.77
2013,3,3.25E-05,0.008152256,40.91
2013,4,3.41E-05,0.008065601,49.68
2013,5,3.23E-05,0.008141535,60.85
2013,6,3.04E-05,0.00781918,70.39
2013,7,3.57E-05,0.007935289,74.21
2013,8,3.45E-05,0.007902155,72.99
2013,9,4.03E-05,0.007457443,66.96
2013,10,3.74E-05,0.007677319,53.44
2013,11,2.81E-05,0.007702129,41.61
2013,12,3.17E-05,0.007254905,31.06
2014,1,3.29E-05,0.009315939,30.56
2014,2,3.45E-05,0.009547961,32.13
2014,3,3.19E-05,0.009458368,40.51
2014,4,3.02E-05,0.009203887,51.69
2014,5,2.76E-05,0.009263924,61.27
2014,6,2.84E-05,0.009217049,69.58
2014,7,3.25E-05,0.009212426,73.29
2014,8,4.13E-05,0.009346523,72.25
2014,9,2.78E-05,0.009486995,66.2
2014,10,2.62E-05,0.009111321,56.93
2014,11,2.64E-05,0.008936593,39.25
2014,12,3.81E-05,0.008477032,36.81
2015,1,3.74E-05,0.010338949,33.08
2015,2,3.63E-05,0.011144075,32.99
2015,3,3.47E-05,0.010677001,45.39
2015,4,3.12E-05,0.010359421,53.24
2015,5,2.75E-05,0.010265487,60.84
2015,6,2.38E-05,0.010515774,71.37
2015,7,2.29E-05,0.010649237,73.92
2015,8,2.82E-05,0.010472464,72.95
2015,9,2.49E-05,0.010383946,68.54
2015,10,2.52E-05,0.010033588,57.24
2015,11,2.36E-05,0.009983586,44.6
2015,12,2.79E-05,0.009185668,38.66
2016,1,1.95E-05,0.011098746,32.22
2016,2,2.59E-05,0.011414047,39.47
2016,3,2.19E-05,0.011107169,47.5
2016,4,2.61E-05,0.011175121,53.19
2016,5,2.36E-05,0.010844145,60.33
2016,6,2.52E-05,0.010734399,71.76
2016,7,3.01E-05,0.01091354,75.22
2016,8,2.33E-05,0.010707036,73.53
2016,9,1.95E-05,0.010714545,67.12
2016,10,2.94E-05,0.01059433,57.72
2016,11,2.31E-05,0.01037173,47.97
2016,12,2.67E-05,0.009263686,32.95
2017,1,3.18E-05,0.011180919,33.57
2017,2,4.10E-05,0.011417723,41.18
2017,3,2.55E-05,0.011940398,46.15
2017,4,3.23E-05,0.012207795,53.8
2017,5,1.94E-05,0.012392081,60.57
2017,6,1.98E-05,0.011377129,70.36
2017,7,2.06E-05,0.01137736,75.7
2017,8,2.07E-05,0.01127492,72.01
2017,9,2.09E-05,0.011522882,66.27
2017,10,2.10E-05,0.011683791,55.69
2017,11,2.11E-05,0.0113161,45.03
2017,12,2.09E-05,0.010364524,34.29
2018,1,2.07E-05,0.01323675,32.16
2018,2,2.35E-05,0.013370036,35.51
2018,3,4.61E-05,0.013553449,42.73
2018,4,4.78E-05,0.013101578,49.03
2018,5,3.97E-05,0.013095413,65.52
2018,6,3.49E-05,0.012424858,71.55
2018,7,2.07E-05,0.012696917,75.45
2018,8,4.10E-05,0.01264906,73.51
2018,9,2.92E-05,0.013343525,67.53
2018,10,2.45E-05,0.013084322,53.71
2018,11,3.41E-05,0.012300195,40.01
2018,12,4.51E-05,0.011271468,35.51
2019,1,5.64E-05,0.013499962,32.56
2019,2,2.58E-05,0.013332158,31.84
2019,3,2.74E-05,0.013641725,40.28
2019,4,5.58E-05,0.01345711,52.84
2019,5,1.84E-05,0.013122199,59.49
2019,6,3.65E-05,0.012878538,68.72
2019,7,2.65E-05,0.012682356,74.62
2019,8,2.10E-05,0.012996651,73.74
2019,9,2.13E-05,0.013598657,68.43
2019,10,2.17E-05,0.012882208,52.05
2019,11,2.21E-05,0.012686907,41.11
2019,12,2.26E-05,0.011258555,36.43
2020,1,2.19E-05,0.013575881,35.55
2020,2,2.13E-05,0.013737271,36.18
2020,3,2.11E-05,0.01230119,46.08
2020,4,1.92E-05,0.010254356,50.88
2020,5,1.95E-05,0.011869137,60.91
2020,6,1.82E-05,0.012648547,70.29
2020,7,1.69E-05,0.013019261,75.65
2020,8,1.39E-05,0.012527062,74.71
2020,9,1.40E-05,0.012660108,65.91
2020,10,1.41E-05,0.011723146,54.28
2020,11,1.21E-05,0.011160322,46.31
2020,12,1.33E-05,0.01087721,35.71
