,USstate,year,month,nTweets_x,nTweets_y
0,ga,2012,1,162945.0,5.0
1,ga,2012,2,162945.0,5.0
2,ga,2012,3,235693.0,10.0
3,ga,2012,4,168306.0,9.0
4,ga,2012,5,111735.0,4.0
5,ga,2012,6,250122.0,2.0
6,ga,2012,7,352477.0,9.0
7,ga,2012,8,311182.0,5.0
8,ga,2012,9,222454.0,8.0
9,ga,2012,10,286145.0,11.0
10,ga,2012,11,279031.0,5.0
11,ga,2012,12,236497.0,3.0
12,ga,2013,1,252496.0,4.0
13,ga,2013,2,178834.0,6.0
14,ga,2013,3,239300.0,7.0
15,ga,2013,4,169716.0,6.0
16,ga,2013,5,222065.0,4.0
17,ga,2013,6,216378.0,3.0
18,ga,2013,7,226489.0,9.0
19,ga,2013,8,217421.0,5.0
20,ga,2013,9,184803.0,10.0
21,ga,2013,10,188261.0,6.5
22,ga,2013,11,191719.0,3.0
23,ga,2013,12,196252.0,5.0
24,ga,2014,1,172565.0,4.5
25,ga,2014,2,148878.0,4.0
26,ga,2014,3,144793.0,5.0
27,ga,2014,4,172491.0,3.0
28,ga,2014,5,177485.0,4.0
29,ga,2014,6,196462.0,1.0
30,ga,2014,7,161442.0,4.0
31,ga,2014,8,44974.0,1.0
32,ga,2014,9,149839.0,5.0
33,ga,2014,10,136486.0,1.0
34,ga,2014,11,158093.0,3.0
35,ga,2014,12,161144.0,1.0
36,ga,2015,1,122882.0,1.0
37,ga,2015,2,84620.0,1.0
38,ga,2015,3,46358.0,1.0
39,ga,2015,4,111325.0,1.0
40,ga,2015,5,147034.0,3.0
41,ga,2015,6,142631.0,4.0
42,ga,2015,7,180125.0,2.0
43,ga,2015,8,98685.0,2.0
44,ga,2015,9,120058.0,3.0
45,ga,2015,10,148770.0,3.0
46,ga,2015,11,126261.0,1.0
47,ga,2015,12,116333.0,1.0
48,ga,2016,1,204721.0,1.0
49,ga,2016,2,153710.0,5.0
50,ga,2016,3,144036.0,4.0
51,ga,2016,4,175476.0,4.0
52,ga,2016,5,206916.0,4.0
53,ga,2016,6,163889.0,2.0
54,ga,2016,7,72078.0,3.0
55,ga,2016,8,157983.0,3.0
56,ga,2016,9,214216.0,2.0
57,ga,2016,10,142892.0,1.0
58,ga,2016,11,187312.0,4.0
59,ga,2016,12,211489.0,5.0
60,ga,2017,1,231550.0,4.0
61,ga,2017,2,193688.0,4.0
62,ga,2017,3,193333.0,7.5
63,ga,2017,4,192978.0,11.0
64,ga,2017,5,237681.0,4.0
65,ga,2017,6,214526.0,6.0
66,ga,2017,7,214769.7142857143,5.571428571428571
67,ga,2017,8,215013.42857142858,5.142857142857143
68,ga,2017,9,215257.14285714287,4.714285714285714
69,ga,2017,10,215500.85714285713,4.285714285714286
70,ga,2017,11,215744.57142857142,3.857142857142857
71,ga,2017,12,215988.2857142857,3.428571428571429
72,ga,2018,1,216232.0,3.0
73,ga,2018,2,168171.0,4.0
74,ga,2018,3,114158.0,4.0
75,ga,2018,4,140370.0,9.0
76,ga,2018,5,124884.5,5.5
77,ga,2018,6,109399.0,2.0
78,ga,2018,7,165169.0,2.0
79,ga,2018,8,208219.0,8.0
80,ga,2018,9,208295.0,6.0
81,ga,2018,10,214761.0,3.0
82,ga,2018,11,194207.33333333334,4.0
83,ga,2018,12,173653.66666666666,5.0
84,ga,2019,1,153100.0,6.0
85,ga,2019,2,171275.0,3.0
86,ga,2019,3,155123.0,1.0
87,ga,2019,4,190037.0,19.0
88,ga,2019,5,201557.0,1.0
89,ga,2019,6,162600.0,2.0
90,ga,2019,7,213893.0,1.0
91,ga,2019,8,211889.0,3.0
92,ga,2019,9,200632.375,2.75
93,ga,2019,10,189375.75,2.5
94,ga,2019,11,178119.125,2.25
95,ga,2019,12,166862.5,2.0
96,ga,2020,1,155605.875,1.75
97,ga,2020,2,144349.25,1.5
98,ga,2020,3,133092.625,1.25
99,ga,2020,4,121836.0,1.0
100,ga,2020,5,123192.5,2.0
101,ga,2020,6,124549.0,3.0
102,ga,2020,7,189061.0,2.5
103,ga,2020,8,253573.0,2.0
104,ga,2020,9,254501.5,2.5
105,ga,2020,10,255430.0,3.0
106,ga,2020,11,274762.0,2.0
107,ga,2020,12,264377.0,1.0
108,ga,2021,1,132272.0,1.0
109,ga,2021,2,102882.0,2.0
110,ga,2021,3,108588.0,1.0
111,ga,2021,4,102128.0,1.0
112,ga,2021,5,186077.0,1.0
113,ga,2021,6,157718.0,1.0
114,ga,2021,7,129359.0,1.0
115,ga,2021,8,101000.0,1.0
116,ga,2021,9,206486.0,5.0
117,ga,2021,10,157652.5,3.0
118,ga,2021,11,108819.0,1.0
119,ga,2021,12,108819.0,1.0
120,dc,2012,1,33223.0,1.0
121,dc,2012,2,33223.0,1.0
122,dc,2012,3,33223.0,1.0
123,dc,2012,4,21940.0,1.0
124,dc,2012,5,27767.5,1.0
125,dc,2012,6,33595.0,1.0
126,dc,2012,7,39422.5,1.0
127,dc,2012,8,45250.0,1.0
128,dc,2012,9,51077.5,1.0
129,dc,2012,10,56905.0,1.0
130,dc,2012,11,53684.0,1.3333333333333333
131,dc,2012,12,50463.0,1.6666666666666665
132,dc,2013,1,47242.0,2.0
133,dc,2013,2,46461.2,1.8
134,dc,2013,3,45680.4,1.6
135,dc,2013,4,44899.6,1.4
136,dc,2013,5,44118.8,1.2
137,dc,2013,6,43338.0,1.0
138,dc,2013,7,42906.444444444445,1.0
139,dc,2013,8,42474.88888888889,1.0
140,dc,2013,9,42043.333333333336,1.0
141,dc,2013,10,41611.77777777778,1.0
142,dc,2013,11,41180.22222222222,1.0
143,dc,2013,12,40748.666666666664,1.0
144,dc,2014,1,40317.11111111111,1.0
145,dc,2014,2,39885.555555555555,1.0
146,dc,2014,3,39454.0,1.0
147,dc,2014,4,45921.0,2.0
148,dc,2014,5,46233.57142857143,1.8571428571428572
149,dc,2014,6,46546.142857142855,1.7142857142857144
150,dc,2014,7,46858.71428571428,1.5714285714285714
151,dc,2014,8,47171.28571428572,1.4285714285714286
152,dc,2014,9,47483.857142857145,1.2857142857142858
153,dc,2014,10,47796.42857142857,1.1428571428571428
154,dc,2014,11,48109.0,1.0
155,dc,2014,12,49996.0,1.0
156,dc,2015,1,38759.0,1.0
157,dc,2015,2,27522.0,1.0
158,dc,2015,3,16285.0,1.0
159,dc,2015,4,26940.666666666664,1.3333333333333333
160,dc,2015,5,37596.33333333333,1.6666666666666665
161,dc,2015,6,48252.0,2.0
162,dc,2015,7,49686.0,1.75
163,dc,2015,8,51120.0,1.5
164,dc,2015,9,52554.0,1.25
165,dc,2015,10,53988.0,1.0
166,dc,2015,11,35806.5,1.0
167,dc,2015,12,17625.0,1.0
168,dc,2016,1,28011.6,1.0
169,dc,2016,2,38398.2,1.0
170,dc,2016,3,48784.8,1.0
171,dc,2016,4,59171.4,1.0
172,dc,2016,5,69558.0,1.0
173,dc,2016,6,65090.0,1.0
174,dc,2016,7,60622.0,1.0
175,dc,2016,8,56154.0,1.0
176,dc,2016,9,55772.5,2.5
177,dc,2016,10,55391.0,4.0
178,dc,2016,11,63577.0,3.4
179,dc,2016,12,71763.0,2.8
180,dc,2017,1,79949.0,2.2
181,dc,2017,2,88135.0,1.6
182,dc,2017,3,96321.0,1.0
183,dc,2017,4,74414.0,1.0
184,dc,2017,5,95490.0,1.0
185,dc,2017,6,92806.09090909091,1.2727272727272727
186,dc,2017,7,90122.18181818182,1.5454545454545454
187,dc,2017,8,87438.27272727272,1.8181818181818181
188,dc,2017,9,84754.36363636363,2.090909090909091
189,dc,2017,10,82070.45454545454,2.3636363636363633
190,dc,2017,11,79386.54545454546,2.6363636363636362
191,dc,2017,12,76702.63636363637,2.909090909090909
192,dc,2018,1,74018.72727272726,3.1818181818181817
193,dc,2018,2,71334.81818181818,3.454545454545454
194,dc,2018,3,68650.90909090909,3.727272727272727
195,dc,2018,4,65967.0,4.0
196,dc,2018,5,70075.75,3.25
197,dc,2018,6,74184.5,2.5
198,dc,2018,7,78293.25,1.75
199,dc,2018,8,82402.0,1.0
200,dc,2018,9,84260.0,1.0
201,dc,2018,10,78373.5,1.0
202,dc,2018,11,72487.0,1.0
203,dc,2018,12,66600.5,1.0
204,dc,2019,1,60714.0,1.0
205,dc,2019,2,65139.25,1.0
206,dc,2019,3,69564.5,1.0
207,dc,2019,4,73989.75,1.0
208,dc,2019,5,78415.0,1.0
209,dc,2019,6,78415.0,1.0
210,dc,2019,7,78415.0,1.0
211,dc,2019,8,78415.0,1.0
212,dc,2019,9,78415.0,1.0
213,dc,2019,10,78415.0,1.0
214,dc,2019,11,78415.0,1.0
215,dc,2019,12,78415.0,1.0
216,dc,2020,1,78415.0,1.0
217,dc,2020,2,78415.0,1.0
218,dc,2020,3,78415.0,1.0
219,dc,2020,4,78415.0,1.0
220,dc,2020,5,78415.0,1.0
221,dc,2020,6,78415.0,1.0
222,dc,2020,7,78415.0,1.0
223,dc,2020,8,78415.0,1.0
224,dc,2020,9,78415.0,1.0
225,dc,2020,10,78415.0,1.0
226,dc,2020,11,78415.0,1.0
227,dc,2020,12,78415.0,1.0
228,dc,2021,1,78415.0,1.0
229,dc,2021,2,78415.0,1.0
230,dc,2021,3,78415.0,1.0
231,dc,2021,4,78415.0,1.0
232,dc,2021,5,78415.0,1.0
233,dc,2021,6,78415.0,1.0
234,dc,2021,7,78415.0,1.0
235,dc,2021,8,78415.0,1.0
236,dc,2021,9,78415.0,1.0
237,dc,2021,10,78415.0,1.0
238,dc,2021,11,78415.0,1.0
