,USstate,year,month,nTweets_x,nTweets_y,misogyny_proportion
0,al,2012,1,51744.0,3.0,5.797773654916512e-05
1,al,2012,2,51744.0,3.0,5.797773654916512e-05
2,al,2012,3,55089.0,2.0,3.6304888453230226e-05
3,al,2012,4,38471.0,1.0,2.5993605573029036e-05
4,al,2012,5,36891.0,1.0,2.7106882437450867e-05
5,al,2012,6,84414.0,2.0,2.3692752387044804e-05
6,al,2012,7,120891.0,3.0,2.4815743107427354e-05
7,al,2012,8,114755.0,3.0,2.6142651736307786e-05
8,al,2012,9,83099.0,3.0,3.6101517467117535e-05
9,al,2012,10,107388.0,3.0,2.7936082243826127e-05
10,al,2012,11,105374.66666666667,3.6666666666666665,3.5069043054605846e-05
11,al,2012,12,103361.33333333333,4.333333333333333,4.220200386538557e-05
12,al,2013,1,101348.0,5.0,4.933496467616529e-05
13,al,2013,2,69822.0,1.0,1.4322133424994986e-05
14,al,2013,3,95346.0,1.0,1.0488116963480376e-05
15,al,2013,4,80389.0,3.0,4.3451663323407874e-05
16,al,2013,5,65432.0,5.0,7.641520968333537e-05
17,al,2013,6,81042.0,1.0,1.2339280866711089e-05
18,al,2013,7,83211.0,3.0,3.6052925694920145e-05
19,al,2013,8,80891.0,3.0,3.7086944159424414e-05
20,al,2013,9,70542.0,3.0,4.252785574551331e-05
21,al,2013,10,18447.0,1.0,5.420935653493793e-05
22,al,2013,11,73806.0,3.0,4.064710186163727e-05
23,al,2013,12,76523.0,1.0,1.306796649373391e-05
24,al,2014,1,68772.0,1.0,1.4969408361444283e-05
25,al,2014,2,61021.0,1.0,1.6870850229154655e-05
26,al,2014,3,53270.0,1.0,1.8772292096865026e-05
27,al,2014,4,62454.0,3.0,4.8035354020559135e-05
28,al,2014,5,62156.0,2.0,3.217710277366626e-05
29,al,2014,6,65605.0,1.0,1.5242740644767929e-05
30,al,2014,7,52226.0,2.0,3.829510205644698e-05
31,al,2014,8,10746.0,1.0,9.305788200260562e-05
32,al,2014,9,13633.0,1.0,8.511928188022743e-05
33,al,2014,10,16520.0,1.0,7.718068175784926e-05
34,al,2014,11,19407.0,1.0,6.924208163547107e-05
35,al,2014,12,22294.0,1.0,6.13034815130929e-05
36,al,2015,1,25181.0,1.0,5.336488139071471e-05
37,al,2015,2,28068.0,1.0,4.5426281268336525e-05
38,al,2015,3,30955.0,1.0,3.7487681145958344e-05
39,al,2015,4,33842.0,1.0,2.9549081023580167e-05
40,al,2015,5,37486.5,1.5,3.908710281273098e-05
41,al,2015,6,41131.0,2.0,4.8625124601881794e-05
42,al,2015,7,50660.0,1.0,1.9739439399921042e-05
43,al,2015,8,48301.0,1.0,2.0807868318178477e-05
44,al,2015,9,45942.0,1.0,2.187629723643591e-05
45,al,2015,10,43583.0,1.0,2.2944726154693344e-05
46,al,2015,11,38192.0,1.0,2.618349392542941e-05
47,al,2015,12,20988.0,1.0,4.76462740613684e-05
48,al,2016,1,66775.0,2.0,2.995132909022838e-05
49,al,2016,2,49794.0,1.0,2.0082740892477006e-05
50,al,2016,3,54932.0,1.5,2.66886153272107e-05
51,al,2016,4,60070.0,2.0,3.3294489761944396e-05
52,al,2016,5,54373.0,2.0,3.719125014023755e-05
53,al,2016,6,48676.0,2.0,4.108801051853069e-05
54,al,2016,7,49126.0,2.0,4.071505576757582e-05
55,al,2016,8,49576.0,2.0,4.0342101016620945e-05
56,al,2016,9,69500.0,2.0,2.8776978417266186e-05
57,al,2016,10,56178.5,1.5,2.605519476431828e-05
58,al,2016,11,42857.0,1.0,2.333341111137037e-05
59,al,2016,12,67094.0,2.0,2.980892479208275e-05
60,al,2017,1,70813.0,3.0,4.2365102452939434e-05
61,al,2017,2,59324.0,1.0,1.6856584181781405e-05
62,al,2017,3,71721.0,1.0,1.3942917694956847e-05
63,al,2017,4,54970.0,2.0,3.6383481899217756e-05
64,al,2017,5,68287.0,2.0,2.9288151478319446e-05
65,al,2017,6,66212.0,2.0,3.0513115485364372e-05
66,al,2017,7,64137.0,2.0,3.17380794924093e-05
67,al,2017,8,62062.0,2.0,3.2963043499454224e-05
68,al,2017,9,59987.0,2.0,3.4188007506499144e-05
69,al,2017,10,57912.0,2.0,3.541297151354407e-05
70,al,2017,11,55837.0,2.0,3.6637935520589e-05
71,al,2017,12,53762.0,2.0,3.786289952763392e-05
72,al,2018,1,51687.0,2.0,3.908786353467885e-05
73,al,2018,2,49612.0,2.0,4.0312827541723776e-05
74,al,2018,3,33656.0,2.0,5.942476824340385e-05
75,al,2018,4,40463.0,1.0,2.471393618861676e-05
76,al,2018,5,35376.5,1.5,4.537116419863324e-05
77,al,2018,6,30290.0,2.0,6.602839220864973e-05
78,al,2018,7,44248.5,1.5,4.1604228231045015e-05
79,al,2018,8,58207.0,1.0,1.7180064253440308e-05
80,al,2018,9,58873.0,1.0,1.69857150136735e-05
81,al,2018,10,59707.0,3.0,5.0245364865091195e-05
82,al,2018,11,53355.333333333336,3.3333333333333335,6.629562420046061e-05
83,al,2018,12,47003.666666666664,3.6666666666666665,8.234588353583003e-05
84,al,2019,1,40652.0,4.0,9.839614287119945e-05
85,al,2019,2,38222.0,2.0,5.2325885615614045e-05
86,al,2019,3,43175.5,5.0,0.00010927291808258938
87,al,2019,4,48129.0,8.0,0.0001662199505495647
88,al,2019,5,49801.0,1.0,2.007991807393426e-05
89,al,2019,6,49620.38888888889,1.1111111111111112,2.2544746590055945e-05
90,al,2019,7,49439.77777777778,1.2222222222222223,2.500957510617763e-05
91,al,2019,8,49259.166666666664,1.3333333333333333,2.7474403622299315e-05
92,al,2019,9,49078.555555555555,1.4444444444444444,2.9939232138421e-05
93,al,2019,10,48897.944444444445,1.5555555555555556,3.2404060654542685e-05
94,al,2019,11,48717.333333333336,1.6666666666666665,3.4868889170664377e-05
95,al,2019,12,48536.72222222222,1.7777777777777777,3.733371768678606e-05
96,al,2020,1,48356.11111111111,1.8888888888888888,3.9798546202907746e-05
97,al,2020,2,48175.5,2.0,4.226337471902943e-05
98,al,2020,3,47994.88888888889,2.111111111111111,4.4728203235151116e-05
99,al,2020,4,47814.27777777778,2.2222222222222223,4.71930317512728e-05
100,al,2020,5,47633.666666666664,2.333333333333333,4.9657860267394486e-05
101,al,2020,6,47453.055555555555,2.4444444444444446,5.212268878351617e-05
102,al,2020,7,47272.444444444445,2.5555555555555554,5.4587517299637856e-05
103,al,2020,8,47091.833333333336,2.6666666666666665,5.705234581575954e-05
104,al,2020,9,46911.22222222222,2.7777777777777777,5.9517174331881226e-05
105,al,2020,10,46730.61111111111,2.888888888888889,6.198200284800291e-05
106,al,2020,11,46550.0,3.0,6.44468313641246e-05
107,al,2020,12,43809.0,2.0,4.565271976077975e-05
108,al,2021,1,41987.2,1.95,5.0151583840555764e-05
109,al,2021,2,40165.4,1.9,5.465044792033177e-05
110,al,2021,3,38343.6,1.85,5.914931200010778e-05
111,al,2021,4,36521.8,1.8,6.36481760798838e-05
112,al,2021,5,34700.0,1.75,6.814704015965981e-05
113,al,2021,6,32878.2,1.7,7.264590423943583e-05
114,al,2021,7,31056.4,1.65,7.714476831921183e-05
115,al,2021,8,29234.6,1.6,8.164363239898785e-05
116,al,2021,9,27412.8,1.55,8.614249647876387e-05
117,al,2021,10,25591.0,1.5,9.064136055853987e-05
118,al,2021,11,23769.2,1.45,9.514022463831588e-05
119,al,2021,12,21947.4,1.4,9.96390887180919e-05
120,ak,2012,1,20125.600000000002,1.35,0.00010413795279786792
121,ak,2012,2,18303.8,1.2999999999999998,0.00010863681687764392
122,ak,2012,3,16482.0,1.25,0.00011313568095741993
123,ak,2012,4,14660.2,1.2,0.00011763454503719595
124,ak,2012,5,12838.400000000001,1.15,0.00012213340911697198
125,ak,2012,6,11016.599999999999,1.1,0.000126632273196748
126,ak,2012,7,9194.800000000003,1.0499999999999998,0.00013113113727652399
127,ak,2012,8,7373.0,1.0,0.0001356300013563
128,ak,2012,9,7584.0,1.0,0.00013195868252548806
129,ak,2012,10,7795.0,1.0,0.0001282873636946761
130,ak,2012,11,7567.5,1.0,0.0001331719453248918
131,ak,2012,12,7340.0,1.0,0.0001380565269551075
132,ak,2013,1,7112.5,1.0,0.0001429411085853232
133,ak,2013,2,6885.0,1.0,0.00014782569021553889
134,ak,2013,3,6657.5,1.0,0.00015271027184575459
135,ak,2013,4,6430.0,1.0,0.00015759485347597029
136,ak,2013,5,6202.5,1.0,0.00016247943510618599
137,ak,2013,6,5975.0,1.0,0.00016736401673640169
138,ak,2013,7,6083.333333333333,1.0,0.00016448606406765402
139,ak,2013,8,6191.666666666667,1.0,0.0001616081113989064
140,ak,2013,9,6300.0,1.0,0.00015873015873015873
141,ak,2013,10,6381.0,1.0,0.00015676513613239885
142,ak,2013,11,6462.0,1.0,0.000154800113534639
143,ak,2013,12,6543.0,1.0,0.0001528350909368791
144,ak,2014,1,6228.4,1.0,0.00017919579247675966
145,ak,2014,2,5913.8,1.0,0.00020555649401664025
146,ak,2014,3,5599.2,1.0,0.00023191719555652081
147,ak,2014,4,5284.6,1.0,0.0002582778970964014
148,ak,2014,5,4970.0,1.0,0.00028463859863628197
149,ak,2014,6,4655.4,1.0,0.0003109993001761625
150,ak,2014,7,4340.799999999999,1.0,0.0003373600017160431
151,ak,2014,8,4026.2,1.0,0.00036372070325592365
152,ak,2014,9,3711.6,1.0,0.0003900814047958042
153,ak,2014,10,3397.0,1.0,0.0004164421063356848
154,ak,2014,11,3082.3999999999996,1.0,0.0004428028078755654
155,ak,2014,12,2767.7999999999997,1.0,0.00046916350941544595
156,ak,2015,1,2453.2,1.0,0.0004955242109553266
157,ak,2015,2,2138.5999999999995,1.0,0.0005218849124952071
158,ak,2015,3,1824.0,1.0,0.0005482456140350877
159,ak,2015,4,3072.25,1.0,0.0004478572338503586
160,ak,2015,5,4320.5,1.0,0.0003474688536656295
161,ak,2015,6,5568.75,1.0,0.00024708047348090043
162,ak,2015,7,6817.0,1.0,0.00014669209329617132
163,ak,2015,8,6753.333333333333,1.0,0.0001481016007828183
164,ak,2015,9,6689.666666666667,1.0,0.0001495111082694653
165,ak,2015,10,6626.0,1.0,0.00015092061575611228
166,ak,2015,11,6953.285714285715,1.0714285714285714,0.00015288656953023723
